day,backend,strategy,logical_error_rate_mean,logical_error_rate_std,logical_error_rate_count,fano_factor_mean,avg_t1_us_mean,avg_t2_us_mean
1,ibm_brisbane,baseline_static,0.0003387753109143221,0.00036674962317032994,9,0.8456016026502163,151.0795323436314,76.56161902108485
1,ibm_brisbane,drift_aware_full_stack,0.00012386398111720304,5.1094540400659763e-05,9,0.8539581076057908,144.90612131909558,84.59006966899337
1,ibm_kyoto,baseline_static,0.00027701466811008946,0.00027194373844759053,9,0.8564799806542243,169.18893587768179,93.6208452082755
1,ibm_kyoto,drift_aware_full_stack,0.00012789043451750986,5.966276582410641e-05,9,0.8846117021947237,176.6345701709144,99.82014443206282
1,ibm_osaka,baseline_static,0.00034160503613078015,0.0003831471479545838,9,0.8411088439461902,159.83899979927637,92.76851401596464
1,ibm_osaka,drift_aware_full_stack,0.00011746030678972037,3.2460784219475034e-05,9,0.865674419565384,159.53403089080618,95.5581331131573
2,ibm_brisbane,baseline_static,0.000385372184020249,0.0004608030247024985,9,0.8305276749827503,146.33081328858128,75.97873209597246
2,ibm_brisbane,drift_aware_full_stack,0.00014111682307437729,7.042292832942163e-05,9,0.856802911011838,144.20316785047083,81.05771037368919
2,ibm_kyoto,baseline_static,0.0002691777540644219,0.000282807768319086,9,0.8599164266229025,172.63631285975848,96.91336914564997
2,ibm_kyoto,drift_aware_full_stack,0.00011910670457199167,3.926736242526245e-05,9,0.8861048006590014,178.08536149281622,95.65621273293655
2,ibm_osaka,baseline_static,0.0003364470891089996,0.00037138718689847433,9,0.8316632146312439,148.59664956374826,83.83407574516265
2,ibm_osaka,drift_aware_full_stack,0.000147844178730333,0.00011227323143854785,9,0.8595798084001758,163.24985433427898,93.52006091410767
3,ibm_brisbane,baseline_static,0.00040327544542091026,0.0005087748919213554,9,0.833691815020732,143.53145007000822,84.35975793303703
3,ibm_brisbane,drift_aware_full_stack,0.000128490791492927,5.0392567696251405e-05,9,0.8685039167524417,156.34302485735216,79.61941471146815
