seed,regime,phase,shifted,candidate,draw,placement,action_loss,service_violation,quality_loss,delay_s,deadline_s
120,qpu_opportunity,1,False,0,52,classical,0.00770851541560303,0,0.00770851541560303,0.004951460286974907,0.35
120,qpu_opportunity,1,False,0,53,classical,0.0,0,0.0,0.004995624767616391,0.35
120,qpu_opportunity,1,False,0,54,classical,0.08005980985626623,0,0.08005980985626623,0.004978960496373475,0.35
120,qpu_opportunity,1,False,0,55,classical,0.07667285363132327,0,0.07667285363132327,0.005147084593772888,0.35
120,qpu_opportunity,1,False,0,56,classical,0.0,0,0.0,0.005400415393523872,0.35
120,qpu_opportunity,1,False,0,57,classical,1.0,1,0.48719378352810183,0.005719789769500494,0.35
120,qpu_opportunity,1,False,0,58,classical,0.1781676152188882,0,0.1781676152188882,0.005603749887086451,0.35
120,qpu_opportunity,1,False,0,59,classical,1.0,1,0.9337730754650431,0.005681249895133078,0.35
120,qpu_opportunity,1,False,0,60,classical,0.0,0,0.0,0.005392710445448756,0.35
120,qpu_opportunity,1,False,0,61,classical,1.0,1,0.635948867851211,0.005717704771086574,0.35
120,qpu_opportunity,1,False,0,62,classical,0.00770851541560303,0,0.00770851541560303,0.005678749876096845,0.35
120,qpu_opportunity,1,False,0,63,classical,0.3661384783533855,0,0.3661384783533855,0.005678124725818634,0.35
120,qpu_opportunity,1,False,0,64,classical,0.08005980985626623,0,0.08005980985626623,0.005562920123338699,0.35
120,qpu_opportunity,1,False,0,65,classical,1.0,1,0.5508902904339003,0.0057783350348472595,0.35
120,qpu_opportunity,1,False,0,66,classical,1.0,1,0.2969135894745723,0.0056922947987914085,0.35
120,qpu_opportunity,1,False,0,67,classical,0.06846506302782733,0,0.06846506302782733,0.005653955158777535,0.35
120,qpu_opportunity,1,False,0,68,classical,0.022938913356155895,0,0.022938913356155895,0.005011875182390213,0.35
120,qpu_opportunity,1,False,0,69,classical,0.3661384783533855,0,0.3661384783533855,0.005205835332162678,0.35
120,qpu_opportunity,1,False,0,70,classical,1.0,1,0.31214398741512517,0.005232080002315342,0.35
120,qpu_opportunity,1,False,0,71,classical,1.0,1,0.2805253825192938,0.005231460090726614,0.35
120,qpu_opportunity,1,False,0,72,classical,1.0,1,0.0062291686777490324,0.005209579830989242,0.35
120,qpu_opportunity,1,False,0,73,classical,0.1781676152188882,0,0.1781676152188882,0.005102500435896218,0.35
120,qpu_opportunity,1,False,0,74,classical,0.08005980985626623,0,0.08005980985626623,0.005175835103727877,0.35
120,qpu_opportunity,1,False,0,75,classical,0.0,0,0.0,0.006765419966541231,0.35
120,qpu_opportunity,1,False,0,76,classical,0.2011065285750439,0,0.2011065285750439,0.0053808302618563175,0.35
120,qpu_opportunity,1,False,0,77,classical,0.3661384783533855,0,0.3661384783533855,0.006916665006428957,0.35
120,qpu_opportunity,1,False,0,78,classical,1.0,1,0.12258157243853758,0.005770209827460349,0.35
120,qpu_opportunity,1,False,0,79,classical,0.0,0,0.0,0.005507085006684065,0.35
120,qpu_opportunity,1,False,0,80,classical,0.00770851541560303,0,0.00770851541560303,0.0056004151701927185,0.35
120,qpu_opportunity,1,False,0,81,classical,1.0,1,0.09964265908238187,0.0057429150911048055,0.35
120,qpu_opportunity,1,False,0,82,classical,1.0,1,0.2892050740589693,0.00605041510425508,0.35
120,qpu_opportunity,1,False,0,83,classical,1.0,1,0.5672535933843681,0.005753750447183847,0.35
120,qpu_opportunity,1,False,0,84,classical,1.0,1,0.5738292037900561,0.005643959739245474,0.35
120,qpu_opportunity,1,False,0,85,classical,0.3661384783533855,0,0.3661384783533855,0.005732084973715246,0.35
120,qpu_opportunity,1,False,0,86,classical,0.07667285363132327,0,0.07667285363132327,0.005458959494717419,0.35
120,qpu_opportunity,1,False,0,87,classical,0.022938913356155895,0,0.022938913356155895,0.005316250026226044,0.35
120,qpu_opportunity,1,False,0,88,classical,0.1781676152188882,0,0.1781676152188882,0.005332289729267359,0.35
120,qpu_opportunity,1,False,0,89,classical,1.0,1,0.6705062888472065,0.005847914726473391,0.35
120,qpu_opportunity,1,False,0,90,classical,1.0,1,0.0062291686777490324,0.00579875020775944,0.35
120,qpu_opportunity,1,False,0,91,classical,0.08776832527186926,0,0.08776832527186926,0.005637499853037298,0.35
120,qpu_opportunity,1,False,0,92,classical,1.0,1,0.9898353081192782,0.005658334703184664,0.35
120,qpu_opportunity,1,False,0,93,classical,1.0,1,1.0095172533607806,0.005623539909720421,0.35
120,qpu_opportunity,1,False,0,94,classical,0.00770851541560303,0,0.00770851541560303,0.005572290392592549,0.35
120,qpu_opportunity,1,False,0,95,classical,1.0,1,0.5672535933843681,0.005613334942609072,0.35
120,qpu_opportunity,1,False,0,96,classical,0.030647428771758925,0,0.030647428771758925,0.005391875165514648,0.35
120,qpu_opportunity,1,False,0,97,classical,1.0,1,0.2805253825192938,0.005677499575540423,0.35
120,qpu_opportunity,1,False,0,98,classical,0.022938913356155895,0,0.022938913356155895,0.005387919954955578,0.35
120,qpu_opportunity,1,False,0,99,classical,0.08005980985626623,0,0.08005980985626623,0.005378954811021686,0.35
120,qpu_opportunity,1,False,0,100,classical,1.0,1,0.014436959281245158,0.005629164515994489,0.35
120,qpu_opportunity,1,False,0,101,classical,0.0,0,0.0,0.00550396041944623,0.35
120,qpu_opportunity,1,False,0,102,classical,1.0,1,0.2892050740589693,0.005639790324494243,0.35
120,qpu_opportunity,1,False,0,103,classical,0.2011065285750439,0,0.2011065285750439,0.005655210115946829,0.35
120,qpu_opportunity,1,False,0,104,classical,1.0,1,0.09964265908238187,0.0056297896662727,0.35
120,qpu_opportunity,1,False,0,105,classical,1.0,1,0.3827068269566472,0.005823749816045165,0.35
120,qpu_opportunity,1,False,0,106,classical,0.0,0,0.0,0.005526665481738746,0.35
120,qpu_opportunity,1,False,0,107,classical,1.0,1,0.31214398741512517,0.0055537495063617826,0.35
120,qpu_opportunity,1,False,0,108,classical,1.0,1,0.5749621087999711,0.00552312470972538,0.35
120,qpu_opportunity,1,False,0,109,classical,0.06846506302782733,0,0.06846506302782733,0.005529585178010166,0.35
120,qpu_opportunity,1,False,0,110,classical,1.0,1,0.31214398741512517,0.005594789981842041,0.35
120,qpu_opportunity,1,False,0,111,classical,0.1781676152188882,0,0.1781676152188882,0.005396460182964802,0.35
120,qpu_opportunity,1,False,0,112,classical,1.0,1,0.5738292037900561,0.005688124801963568,0.35
120,qpu_opportunity,1,False,0,113,classical,0.0,0,0.0,0.005504164728336036,0.35
120,qpu_opportunity,1,False,0,114,classical,1.0,1,0.0062291686777490324,0.005549789639189839,0.35
120,qpu_opportunity,1,False,0,115,classical,0.08005980985626623,0,0.08005980985626623,0.005305419908836484,0.35
120,qpu_opportunity,1,False,0,116,classical,0.07667285363132327,0,0.07667285363132327,0.005250210524536669,0.35
120,qpu_opportunity,1,False,0,117,classical,1.0,1,1.0254569702220118,0.005575624527409673,0.35
120,qpu_opportunity,1,False,0,118,classical,1.0,1,1.0439242896109315,0.005611664964817464,0.35
120,qpu_opportunity,1,False,0,119,classical,0.022938913356155895,0,0.022938913356155895,0.005405204719863832,0.35
120,qpu_opportunity,1,False,1,0,classical,1.0,1,0.31214398741512517,0.005649790400639176,0.35
120,qpu_opportunity,1,False,1,1,classical,1.0,1,0.12258157243853758,0.005489580216817558,0.35
120,qpu_opportunity,1,False,1,2,classical,1.0,1,0.09964265908238187,0.00557437539100647,0.35
120,qpu_opportunity,1,False,1,3,classical,0.00770851541560303,0,0.00770851541560303,0.005471665062941611,0.35
120,qpu_opportunity,1,False,1,4,classical,0.06846506302782733,0,0.06846506302782733,0.005459170206449926,0.35
120,qpu_opportunity,1,False,1,5,classical,0.08005980985626623,0,0.08005980985626623,0.005403329851105809,0.35
120,qpu_opportunity,1,False,1,6,classical,1.0,1,0.31214398741512517,0.0055525003699585795,0.35
120,qpu_opportunity,1,False,1,7,classical,0.0,0,0.0,0.005295835435390472,0.35
120,qpu_opportunity,1,False,1,8,classical,0.08005980985626623,0,0.08005980985626623,0.005281039630062878,0.35
120,qpu_opportunity,1,False,1,9,classical,1.0,1,0.49490229894370485,0.005506249726749957,0.35
120,qpu_opportunity,1,False,1,10,classical,0.06846506302782733,0,0.06846506302782733,0.005362294614315033,0.35
120,qpu_opportunity,1,False,1,11,classical,0.0,0,0.0,0.0055412499932572246,0.35
120,qpu_opportunity,1,False,1,12,classical,1.0,1,1.1710140943750618,0.005752915167249739,0.35
120,qpu_opportunity,1,False,1,13,classical,1.0,1,0.2892050740589693,0.005579169956035912,0.35
120,qpu_opportunity,1,False,1,14,classical,0.08005980985626623,0,0.08005980985626623,0.005329794948920608,0.35
120,qpu_opportunity,1,False,1,15,classical,1.0,1,0.3873128794215912,0.00549791962839663,0.35
120,qpu_opportunity,1,False,1,16,classical,1.0,1,0.0062291686777490324,0.005502499989233911,0.35
120,qpu_opportunity,1,False,1,17,classical,1.0,1,0.3827068269566472,0.0055166700622066855,0.35
120,qpu_opportunity,1,False,1,18,classical,1.0,1,0.28873317312278957,0.005859790253452957,0.35
120,qpu_opportunity,1,False,1,19,classical,0.06846506302782733,0,0.06846506302782733,0.005511670024134219,0.35
120,qpu_opportunity,1,False,1,20,classical,0.2011065285750439,0,0.2011065285750439,0.005560624995268881,0.35
120,qpu_opportunity,1,False,1,21,classical,1.0,1,1.150282180353257,0.005707709933631122,0.35
120,qpu_opportunity,1,False,1,22,classical,0.030647428771758925,0,0.030647428771758925,0.0055014604004099965,0.35
120,qpu_opportunity,1,False,1,23,classical,0.06846506302782733,0,0.06846506302782733,0.005396874621510506,0.35
120,qpu_opportunity,1,False,1,24,classical,0.0,0,0.0,0.005347084952518344,0.35
120,qpu_opportunity,1,False,1,25,classical,0.1781676152188882,0,0.1781676152188882,0.005453124758787453,0.35
120,qpu_opportunity,1,False,1,26,classical,0.06846506302782733,0,0.06846506302782733,0.005654374836012721,0.35
120,qpu_opportunity,1,False,1,27,classical,0.2011065285750439,0,0.2011065285750439,0.005511459894478321,0.35
120,qpu_opportunity,1,False,1,28,classical,1.0,1,0.6915349106315613,0.005622915341518819,0.35
120,qpu_opportunity,1,False,1,29,classical,0.3661384783533855,0,0.3661384783533855,0.005440414533950388,0.35
120,qpu_opportunity,1,False,1,30,classical,0.00770851541560303,0,0.00770851541560303,0.005171665106900036,0.35
120,qpu_opportunity,1,False,1,31,classical,1.0,1,0.0062291686777490324,0.0054789596470072865,0.35
120,qpu_opportunity,1,False,1,32,classical,0.00770851541560303,0,0.00770851541560303,0.005474580102600157,0.35
120,qpu_opportunity,1,False,1,33,classical,1.0,1,0.014436959281245158,0.005502710118889809,0.35
120,qpu_opportunity,1,False,1,34,classical,0.0,0,0.0,0.0052612501895055175,0.35
120,qpu_opportunity,1,False,1,35,classical,1.0,1,0.12258157243853758,0.005471460171975195,0.35
120,qpu_opportunity,1,False,1,36,classical,0.00770851541560303,0,0.00770851541560303,0.005297705065459013,0.35
120,qpu_opportunity,1,False,1,37,classical,0.00770851541560303,0,0.00770851541560303,0.005383749958127737,0.35
120,qpu_opportunity,1,False,1,38,classical,1.0,1,0.0062291686777490324,0.005520000122487545,0.35
120,qpu_opportunity,1,False,1,39,classical,0.0,0,0.0,0.00508937519043684,0.35
120,qpu_opportunity,1,False,1,40,classical,0.3661384783533855,0,0.3661384783533855,0.004970000009052455,0.35
120,qpu_opportunity,1,False,1,41,classical,0.1781676152188882,0,0.1781676152188882,0.005077079986222088,0.35
120,qpu_opportunity,1,False,1,42,classical,0.022938913356155895,0,0.022938913356155895,0.005071039777249098,0.35
120,qpu_opportunity,1,False,1,43,classical,0.00770851541560303,0,0.00770851541560303,0.005100000416859984,0.35
120,qpu_opportunity,1,False,1,44,classical,1.0,1,0.3039025840033074,0.005323124933056533,0.35
120,qpu_opportunity,1,False,1,45,classical,1.0,1,0.6915349106315613,0.005198539583943784,0.35
120,qpu_opportunity,1,False,1,46,classical,0.3661384783533855,0,0.3661384783533855,0.005211664829403162,0.35
120,qpu_opportunity,1,False,1,47,classical,0.0,0,0.0,0.0055072951363399625,0.35
120,qpu_opportunity,1,False,1,48,classical,0.1781676152188882,0,0.1781676152188882,0.005174374673515558,0.35
120,qpu_opportunity,1,False,1,49,classical,0.08776832527186926,0,0.08776832527186926,0.005292085115797818,0.35
120,qpu_opportunity,1,False,1,50,classical,0.00770851541560303,0,0.00770851541560303,0.005194790428504348,0.35
120,qpu_opportunity,1,False,1,51,classical,0.06846506302782733,0,0.06846506302782733,0.0051097950199618936,0.35
120,qpu_opportunity,1,False,1,52,classical,0.06846506302782733,0,0.06846506302782733,0.00531375000718981,0.35
120,qpu_opportunity,1,False,1,53,classical,1.0,1,0.7378036321622315,0.005406665150076151,0.35
120,qpu_opportunity,1,False,1,54,classical,0.1781676152188882,0,0.1781676152188882,0.005125210154801607,0.35
120,qpu_opportunity,1,False,1,55,classical,1.0,1,0.3198525028307282,0.005310419946908951,0.35
120,qpu_opportunity,1,False,1,56,classical,0.06846506302782733,0,0.06846506302782733,0.005228954833000898,0.35
120,qpu_opportunity,1,False,1,57,classical,0.1781676152188882,0,0.1781676152188882,0.005254374700598419,0.35
120,qpu_opportunity,1,False,1,58,classical,0.08005980985626623,0,0.08005980985626623,0.005240415339358151,0.35
120,qpu_opportunity,1,False,1,59,classical,0.06846506302782733,0,0.06846506302782733,0.005118959816172719,0.35
120,qpu_opportunity,1,False,1,60,classical,1.0,1,0.9898353081192782,0.005316874594427645,0.35
120,qpu_opportunity,1,False,1,61,classical,1.0,1,0.5508902904339003,0.0053029198898002505,0.35
120,qpu_opportunity,1,False,1,62,classical,0.0,0,0.0,0.005239999736659229,0.35
120,qpu_opportunity,1,False,1,63,classical,1.0,1,0.6343468302124198,0.005441459943540394,0.35
120,qpu_opportunity,1,False,1,64,classical,0.1781676152188882,0,0.1781676152188882,0.005314790178090334,0.35
120,qpu_opportunity,1,False,1,65,classical,1.0,1,0.6343468302124198,0.005395205225795507,0.35
120,qpu_opportunity,1,False,1,66,classical,0.2011065285750439,0,0.2011065285750439,0.005411250167526305,0.35
120,qpu_opportunity,1,False,1,67,classical,1.0,1,0.2969135894745723,0.00540895969606936,0.35
120,qpu_opportunity,1,False,1,68,classical,0.030647428771758925,0,0.030647428771758925,0.005334580200724304,0.35
120,qpu_opportunity,1,False,1,69,classical,1.0,1,0.6130099544950551,0.00555728969629854,0.35
120,qpu_opportunity,1,False,1,70,classical,1.0,1,1.150282180353257,0.0055564549984410405,0.35
120,qpu_opportunity,1,False,1,71,classical,0.2011065285750439,0,0.2011065285750439,0.00529874989297241,0.35
120,qpu_opportunity,1,False,1,72,classical,1.0,1,0.0062291686777490324,0.0054239603923633695,0.35
120,qpu_opportunity,1,False,1,73,classical,1.0,1,0.9582945304218095,0.005307914689183235,0.35
120,qpu_opportunity,1,False,1,74,classical,0.022938913356155895,0,0.022938913356155895,0.005052500055171549,0.35
120,qpu_opportunity,1,False,1,75,classical,0.07667285363132327,0,0.07667285363132327,0.005195625126361847,0.35
120,qpu_opportunity,1,False,1,76,classical,1.0,1,0.014436959281245158,0.005414584884420037,0.35
120,qpu_opportunity,1,False,1,77,classical,1.0,1,0.014436959281245158,0.005386460106819868,0.35
