seed,policy,windows,certificate_issued,dominant_selected_path,mean_interference,mean_backlog,dropped_demand,switch_rate,deadline_miss_rate,fallback_rate,action_loss
0,capo_cert,40,True,local_exact,0.2851295087373734,1.0435639720184775,12.090146634858844,0.0,0.0,0.0,0.2851295087373734
0,expected_loss,40,False,local_exact,0.2851295087373734,1.0435639720184775,12.090146634858844,0.0,0.0,0.0,0.2851295087373734
0,empirical_chance,40,False,local_exact,0.2851295087373734,1.0435639720184775,12.090146634858844,0.0,0.0,0.0,0.2851295087373734
0,rolling,40,False,local_exact,0.2851295087373734,1.0435639720184775,12.090146634858844,0.0,0.0,0.0,0.2851295087373734
0,local_greedy,40,False,local_greedy,0.2851295087373734,1.0435639720184775,12.090146634858844,0.0,0.0,0.0,0.2851295087373734
0,hindsight_oracle,40,False,local_greedy,0.2851295087373734,1.0435639720184775,12.090146634858844,0.0,0.0,0.0,0.2851295087373734
1,capo_cert,40,True,local_exact,0.28969405928463265,1.1255172528068038,24.87073011741495,0.01875,0.0,0.0,0.28969405928463265
1,expected_loss,40,False,local_exact,0.28969405928463265,1.1255172528068038,24.87073011741495,0.01875,0.0,0.0,0.28969405928463265
1,empirical_chance,40,False,local_exact,0.28969405928463265,1.1255172528068038,24.87073011741495,0.01875,0.0,0.0,0.28969405928463265
1,rolling,40,False,local_exact,0.28969405928463265,1.1255172528068038,24.87073011741495,0.01875,0.0,0.0,0.28969405928463265
1,local_greedy,40,False,local_greedy,0.29090446470079884,1.1099939311909253,25.515607584194818,0.00625,0.0,0.0,0.29090446470079884
1,hindsight_oracle,40,False,local_greedy,0.28969405928463265,1.1255172528068038,24.87073011741495,0.01875,0.0,0.0,0.28969405928463265
2,capo_cert,40,True,local_exact,0.3083631735674593,1.2417412657749343,23.340589912803175,0.075,0.0,0.0,0.3083631735674593
2,expected_loss,40,False,local_exact,0.3083631735674593,1.2417412657749343,23.340589912803175,0.075,0.0,0.0,0.3083631735674593
2,empirical_chance,40,False,local_exact,0.3083631735674593,1.2417412657749343,23.340589912803175,0.075,0.0,0.0,0.3083631735674593
2,rolling,40,False,local_exact,0.3083631735674593,1.2417412657749343,23.340589912803175,0.075,0.0,0.0,0.3083631735674593
2,local_greedy,40,False,local_greedy,0.3146444249133906,1.4323393094056445,23.04306444409494,0.01875,0.0,0.0,0.3146444249133906
2,hindsight_oracle,40,False,local_greedy,0.3083631735674593,1.2417412657749343,23.340589912803175,0.075,0.0,0.0,0.3083631735674593
3,capo_cert,40,True,local_exact,0.32804130925306796,1.3396721393913418,45.49276634235078,0.01875,0.0,0.0,0.32804130925306796
3,expected_loss,40,False,local_exact,0.32804130925306796,1.3396721393913418,45.49276634235078,0.01875,0.0,0.0,0.32804130925306796
3,empirical_chance,40,False,local_exact,0.32804130925306796,1.3396721393913418,45.49276634235078,0.01875,0.0,0.0,0.32804130925306796
3,rolling,40,False,local_exact,0.32804130925306796,1.3396721393913418,45.49276634235078,0.01875,0.0,0.0,0.32804130925306796
3,local_greedy,40,False,local_greedy,0.34845509784929174,1.5323855478813375,52.08165710095448,0.01875,0.0,0.0,0.34845509784929174
3,hindsight_oracle,40,False,local_greedy,0.32804130925306796,1.3396721393913418,45.49276634235078,0.01875,0.0,0.0,0.32804130925306796
4,capo_cert,40,True,local_exact,0.3067291702209758,1.236524588602809,41.24172768317909,0.00625,0.0,0.0,0.3067291702209758
4,expected_loss,40,False,local_exact,0.3067291702209758,1.236524588602809,41.24172768317909,0.00625,0.0,0.0,0.3067291702209758
4,empirical_chance,40,False,local_exact,0.3067291702209758,1.236524588602809,41.24172768317909,0.00625,0.0,0.0,0.3067291702209758
4,rolling,40,False,local_exact,0.3067291702209758,1.236524588602809,41.24172768317909,0.00625,0.0,0.0,0.3067291702209758
4,local_greedy,40,False,local_greedy,0.3113391816114457,1.4132704363560076,42.531181005536695,0.0125,0.0,0.0,0.3113391816114457
4,hindsight_oracle,40,False,local_greedy,0.3067291702209758,1.236524588602809,41.24172768317909,0.00625,0.0,0.0,0.3067291702209758
5,capo_cert,40,True,local_exact,0.3039630598509323,1.5680308494929547,36.09031678161203,0.01875,0.0,0.0,0.3039630598509323
5,expected_loss,40,False,local_exact,0.3039630598509323,1.5680308494929547,36.09031678161203,0.01875,0.0,0.0,0.3039630598509323
5,empirical_chance,40,False,local_exact,0.3039630598509323,1.5680308494929547,36.09031678161203,0.01875,0.0,0.0,0.3039630598509323
5,rolling,40,False,local_exact,0.3039630598509323,1.5680308494929547,36.09031678161203,0.01875,0.0,0.0,0.3039630598509323
5,local_greedy,40,False,local_greedy,0.32899296630096886,1.3835583498162216,47.066356606539394,0.025,0.0,0.0,0.32899296630096886
5,hindsight_oracle,40,False,local_greedy,0.3039630598509323,1.5680308494929547,36.09031678161203,0.01875,0.0,0.0,0.3039630598509323
6,capo_cert,40,True,local_exact,0.24733615427571332,0.5473642103322562,8.45572007264025,0.0,0.0,0.0,0.24733615427571332
6,expected_loss,40,False,local_exact,0.24733615427571332,0.5473642103322562,8.45572007264025,0.0,0.0,0.0,0.24733615427571332
6,empirical_chance,40,False,local_exact,0.24733615427571332,0.5473642103322562,8.45572007264025,0.0,0.0,0.0,0.24733615427571332
6,rolling,40,False,local_exact,0.24733615427571332,0.5473642103322562,8.45572007264025,0.0,0.0,0.0,0.24733615427571332
6,local_greedy,40,False,local_greedy,0.24733615427571332,0.5473642103322562,8.45572007264025,0.0,0.0,0.0,0.24733615427571332
6,hindsight_oracle,40,False,local_greedy,0.24733615427571332,0.5473642103322562,8.45572007264025,0.0,0.0,0.0,0.24733615427571332
7,capo_cert,40,True,local_exact,0.3290431026946671,1.4963138382963923,45.96001173173402,0.0125,0.0,0.0,0.3290431026946671
7,expected_loss,40,False,local_exact,0.3290431026946671,1.4963138382963923,45.96001173173402,0.0125,0.0,0.0,0.3290431026946671
7,empirical_chance,40,False,local_exact,0.3290431026946671,1.4963138382963923,45.96001173173402,0.0125,0.0,0.0,0.3290431026946671
7,rolling,40,False,local_exact,0.3290431026946671,1.4963138382963923,45.96001173173402,0.0125,0.0,0.0,0.3290431026946671
7,local_greedy,40,False,local_greedy,0.33275587030241244,1.567913463459701,46.826981727516866,0.0125,0.0,0.0,0.33275587030241244
7,hindsight_oracle,40,False,local_greedy,0.3290431026946671,1.4963138382963923,45.96001173173402,0.0125,0.0,0.0,0.3290431026946671
8,capo_cert,40,True,local_exact,0.31715435341607173,1.7272758562816466,52.21273433810008,0.00625,0.0,0.0,0.31715435341607173
8,expected_loss,40,False,local_exact,0.31715435341607173,1.7272758562816466,52.21273433810008,0.00625,0.0,0.0,0.31715435341607173
8,empirical_chance,40,False,local_exact,0.31715435341607173,1.7272758562816466,52.21273433810008,0.00625,0.0,0.0,0.31715435341607173
8,rolling,40,False,local_exact,0.31715435341607173,1.7272758562816466,52.21273433810008,0.00625,0.0,0.0,0.31715435341607173
8,local_greedy,40,False,local_greedy,0.33239220474471143,1.7201523676135,56.93660309011701,0.009375,0.0,0.0,0.33239220474471143
8,hindsight_oracle,40,False,local_greedy,0.31715435341607173,1.7272758562816466,52.21273433810008,0.00625,0.0,0.0,0.31715435341607173
9,capo_cert,40,True,local_exact,0.23771063066863468,0.6461818037842775,12.622870780061831,0.034375,0.0,0.0,0.23771063066863468
9,expected_loss,40,False,local_exact,0.23771063066863468,0.6461818037842775,12.622870780061831,0.034375,0.0,0.0,0.23771063066863468
9,empirical_chance,40,False,local_exact,0.23771063066863468,0.6461818037842775,12.622870780061831,0.034375,0.0,0.0,0.23771063066863468
9,rolling,40,False,local_exact,0.23771063066863468,0.6461818037842775,12.622870780061831,0.034375,0.0,0.0,0.23771063066863468
9,local_greedy,40,False,local_greedy,0.2518195149006466,0.6080717268503589,14.131807833871779,0.01875,0.0,0.0,0.2518195149006466
9,hindsight_oracle,40,False,local_greedy,0.23771063066863468,0.6461818037842775,12.622870780061831,0.034375,0.0,0.0,0.23771063066863468
10,capo_cert,40,True,local_exact,0.30422509461115654,0.9755764870629082,28.396521097766424,0.0,0.0,0.0,0.30422509461115654
10,expected_loss,40,False,local_exact,0.30422509461115654,0.9755764870629082,28.396521097766424,0.0,0.0,0.0,0.30422509461115654
10,empirical_chance,40,False,local_exact,0.30422509461115654,0.9755764870629082,28.396521097766424,0.0,0.0,0.0,0.30422509461115654
10,rolling,40,False,local_exact,0.30422509461115654,0.9755764870629082,28.396521097766424,0.0,0.0,0.0,0.30422509461115654
10,local_greedy,40,False,local_greedy,0.30422509461115654,0.9755764870629082,28.396521097766424,0.0,0.0,0.0,0.30422509461115654
10,hindsight_oracle,40,False,local_greedy,0.30422509461115654,0.9755764870629082,28.396521097766424,0.0,0.0,0.0,0.30422509461115654
11,capo_cert,40,True,local_exact,0.31383811665891576,1.456120169978109,37.33489345435217,0.05625,0.0,0.0,0.31383811665891576
11,expected_loss,40,False,local_exact,0.31383811665891576,1.456120169978109,37.33489345435217,0.05625,0.0,0.0,0.31383811665891576
11,empirical_chance,40,False,local_exact,0.31383811665891576,1.456120169978109,37.33489345435217,0.05625,0.0,0.0,0.31383811665891576
11,rolling,40,False,local_exact,0.31383811665891576,1.456120169978109,37.33489345435217,0.05625,0.0,0.0,0.31383811665891576
11,local_greedy,40,False,local_greedy,0.31968619518500724,1.4130565461669575,39.541144444960565,0.03125,0.0,0.0,0.31968619518500724
11,hindsight_oracle,40,False,local_greedy,0.31383811665891576,1.456120169978109,37.33489345435217,0.05625,0.0,0.0,0.31383811665891576
12,capo_cert,40,True,local_exact,0.3570768069645924,1.6989240462956048,75.2508048298798,0.0125,0.0,0.0,0.3570768069645924
12,expected_loss,40,False,local_exact,0.3570768069645924,1.6989240462956048,75.2508048298798,0.0125,0.0,0.0,0.3570768069645924
12,empirical_chance,40,False,local_exact,0.3570768069645924,1.6989240462956048,75.2508048298798,0.0125,0.0,0.0,0.3570768069645924
12,rolling,40,False,local_exact,0.3570768069645924,1.6989240462956048,75.2508048298798,0.0125,0.0,0.0,0.3570768069645924
12,local_greedy,40,False,local_greedy,0.37793109287533966,1.7624196444157778,80.32511163006008,0.00625,0.0,0.0,0.37793109287533966
12,hindsight_oracle,40,False,local_greedy,0.3570768069645924,1.6989240462956048,75.2508048298798,0.0125,0.0,0.0,0.3570768069645924
13,capo_cert,40,True,local_exact,0.31315960404185317,1.3946442170621487,24.170732232009527,0.015625,0.0,0.0,0.31315960404185317
13,expected_loss,40,False,local_exact,0.31315960404185317,1.3946442170621487,24.170732232009527,0.015625,0.0,0.0,0.31315960404185317
13,empirical_chance,40,False,local_exact,0.31315960404185317,1.3946442170621487,24.170732232009527,0.015625,0.0,0.0,0.31315960404185317
13,rolling,40,False,local_exact,0.31315960404185317,1.3946442170621487,24.170732232009527,0.015625,0.0,0.0,0.31315960404185317
13,local_greedy,40,False,local_greedy,0.3326462504446013,1.270939755517734,34.257027523874854,0.00625,0.0,0.0,0.3326462504446013
13,hindsight_oracle,40,False,local_greedy,0.31315960404185317,1.3946442170621487,24.170732232009527,0.015625,0.0,0.0,0.31315960404185317
14,capo_cert,40,True,local_exact,0.3079038848827095,1.3517628354663462,32.46812698891754,0.046875,0.0,0.0,0.3079038848827095
14,expected_loss,40,False,local_exact,0.3079038848827095,1.3517628354663462,32.46812698891754,0.046875,0.0,0.0,0.3079038848827095
14,empirical_chance,40,False,local_exact,0.3079038848827095,1.3517628354663462,32.46812698891754,0.046875,0.0,0.0,0.3079038848827095
14,rolling,40,False,local_exact,0.3079038848827095,1.3517628354663462,32.46812698891754,0.046875,0.0,0.0,0.3079038848827095
14,local_greedy,40,False,local_greedy,0.31032083740520866,1.3435659858867122,33.39634508633543,0.028125,0.0,0.0,0.31032083740520866
14,hindsight_oracle,40,False,local_greedy,0.3079038848827095,1.3517628354663462,32.46812698891754,0.046875,0.0,0.0,0.3079038848827095
15,capo_cert,40,True,local_exact,0.27966035312537213,1.0561698944567222,22.51323001178638,0.03125,0.0,0.0,0.27966035312537213
15,expected_loss,40,False,local_exact,0.27966035312537213,1.0561698944567222,22.51323001178638,0.03125,0.0,0.0,0.27966035312537213
15,empirical_chance,40,False,local_exact,0.27966035312537213,1.0561698944567222,22.51323001178638,0.03125,0.0,0.0,0.27966035312537213
15,rolling,40,False,local_exact,0.27966035312537213,1.0561698944567222,22.51323001178638,0.03125,0.0,0.0,0.27966035312537213
15,local_greedy,40,False,local_greedy,0.30558821940385084,1.2977119524194034,30.748804919209054,0.009375,0.0,0.0,0.30558821940385084
15,hindsight_oracle,40,False,local_greedy,0.27966035312537213,1.0561698944567222,22.51323001178638,0.03125,0.0,0.0,0.27966035312537213
16,capo_cert,40,True,local_exact,0.30343844426775274,1.003893835420909,32.55389008276799,0.025,0.0,0.0,0.30343844426775274
16,expected_loss,40,False,local_exact,0.30343844426775274,1.003893835420909,32.55389008276799,0.025,0.0,0.0,0.30343844426775274
16,empirical_chance,40,False,local_exact,0.30343844426775274,1.003893835420909,32.55389008276799,0.025,0.0,0.0,0.30343844426775274
16,rolling,40,False,local_exact,0.30343844426775274,1.003893835420909,32.55389008276799,0.025,0.0,0.0,0.30343844426775274
16,local_greedy,40,False,local_greedy,0.3152087067254802,1.1377826159313302,40.32201117044572,0.0,0.0,0.0,0.3152087067254802
16,hindsight_oracle,40,False,local_greedy,0.30343844426775274,1.003893835420909,32.55389008276799,0.025,0.0,0.0,0.30343844426775274
17,capo_cert,40,True,local_exact,0.27504313251570606,1.0999106923541044,32.87578768549045,0.00625,0.0,0.0,0.27504313251570606
17,expected_loss,40,False,local_exact,0.27504313251570606,1.0999106923541044,32.87578768549045,0.00625,0.0,0.0,0.27504313251570606
17,empirical_chance,40,False,local_exact,0.27504313251570606,1.0999106923541044,32.87578768549045,0.00625,0.0,0.0,0.27504313251570606
17,rolling,40,False,local_exact,0.27504313251570606,1.0999106923541044,32.87578768549045,0.00625,0.0,0.0,0.27504313251570606
17,local_greedy,40,False,local_greedy,0.27728650569320745,1.1001398273260032,32.96428350612862,0.00625,0.0,0.0,0.27728650569320745
17,hindsight_oracle,40,False,local_greedy,0.27504313251570606,1.0999106923541044,32.87578768549045,0.00625,0.0,0.0,0.27504313251570606
18,capo_cert,40,True,local_exact,0.30954625267728275,1.268257948893884,31.01334342644595,0.0125,0.0,0.0,0.30954625267728275
18,expected_loss,40,False,local_exact,0.30954625267728275,1.268257948893884,31.01334342644595,0.0125,0.0,0.0,0.30954625267728275
18,empirical_chance,40,False,local_exact,0.30954625267728275,1.268257948893884,31.01334342644595,0.0125,0.0,0.0,0.30954625267728275
18,rolling,40,False,local_exact,0.30954625267728275,1.268257948893884,31.01334342644595,0.0125,0.0,0.0,0.30954625267728275
