experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,window,oracle_utility,regret,config_id,u_fid0,u_fid1,u_fid2,u_fid3
exp1,qaoa,0,random,30.0,42.0,61.49306232007785,5.038148165913299,2.0,40.0,1.0,128.0,0.0,1.0,classical,0.0683137051478892,0.005032186949392781,0.0,0.0,0.040257495595142245,0.0,0.005273731922963635,0.0,-0.06889126873811868,-0.1325318527582209,,,,,,,,
exp1,qaoa,0,sequential,30.0,42.00000000000002,90.7509057549216,0.4067031660815701,2.0,40.0,1.0,128.0,0.0,1.0,remote_sim,0.06663036837100919,0.09978678043901802,0.0,0.0,1.2622880000000003,5.049152e-08,0.10736303301501801,0.0,-0.08155480200561985,-0.20548063012038179,,,,,,,,
exp1,qaoa,0,joint_bo,30.0,42.0,96.95911646254774,0.31666166707873344,3.0,80.0,1.0,128.0,1.0,0.0,local_sim,0.06663036837100919,0.30491199999999996,0.0,0.0,2.4392959999999997,0.0,0.31954777600000006,0.0,-0.10354320338629723,-0.2303366163259177,,,,,,,,
exp1,qaoa,0,joint_mf,30.0,44.16,626.3438942874996,0.26220304099842906,3.0,40.0,1.0,2048.0,0.0,0.0,remote_sim,0.0,0.059665203949076,0.0,0.0,1.2684320000000002,5.073728e-08,0.067278332813076,0.0,-0.011316912534034693,-0.013704214483840634,,,,,,,,
exp1,qaoa,0,accuracy_only,30.0,33.0,469.4963117022079,0.6484261659206823,3.0,80.0,1.0,128.0,1.0,0.0,qpu_A,0.09851425797892265,2.7512637246991383,0.55,0.0,5.384,0.001152,2.8411677246991376,0.0,-1.4771803461589657,-2.68774452049959,,,,,,,,
exp1,qaoa,0,hand_designed,30.0,0.0,0.0,0.15292045893147588,1.0,40.0,0.0,512.0,0.0,1.0,qpu_A,0.011529996549130037,9.229080575154534,1.0,0.9,220.48000000000002,0.061439999999999995,13.623960575154532,0.1,-11.50881266355534,-12.644593203265055,,,,,,,,
exp1,qaoa,0,always_simulator,30.0,0.0,0.0,0.15057004208210856,1.0,40.0,0.0,512.0,0.0,1.0,local_sim,0.005764998274565019,3.982159999999999,0.8,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.0810144907013166,-2.6101407436407262,,,,,,,,
exp1,qaoa,0,classical_only,30.0,0.0,0.0,0.021130000008270144,1.0,40.0,0.0,512.0,0.0,1.0,classical,0.0683137051478892,0.005149822565726936,0.0,0.0,0.04119858052581549,0.0,0.0053970140488818295,0.0,-0.06890255911812253,-0.13252413886485834,,,,,,,,
exp1,qaoa,0,oracle_placement,30.0,0.0,0.0,0.0,3.0,80.0,1.0,128.0,1.0,0.0,classical,0.0683137051478892,0.005025895341532305,0.0,0.0,0.04020716273225844,0.0,0.005267138317925855,0.0,-0.06889093206255711,-0.13251401165087393,,,,,,,,
exp1,qaoa,1,random,30.0,42.0,609.818765223899,0.14230087492614985,3.0,80.0,0.0,2048.0,1.0,0.0,classical,0.053995897697301364,0.0050253540684934705,0.0,0.0,0.040202832547947764,0.0,0.005266571063781157,0.0,-0.054664062622950385,-0.17626285025461985,,,,,,,,
exp1,qaoa,1,sequential,30.0,42.00000000000002,672.1348273579177,2.215652292012237,3.0,80.0,0.0,128.0,1.0,2.0,local_sim,0.0737635579828432,23.79296,1.0,0.4,190.34368,0.0,24.935022080000003,0.0,-6.773273164720775,-9.831419608846685,,,,,,,,
exp1,qaoa,1,joint_bo,30.0,42.0,65.99382831201503,0.1650354580488056,3.0,40.0,1.0,128.0,1.0,1.0,remote_sim,0.04801023743244635,0.12883794315123373,0.05,0.0,1.2684320000000002,5.073728e-08,0.13645107201523374,0.05,-0.16240179368644134,-0.23673432084012025,,,,,,,,
exp1,qaoa,1,joint_mf,30.0,44.16,57.55514088887053,0.11793279100675136,2.0,40.0,0.0,512.0,0.0,1.0,classical,0.053995897697301364,0.0049753964703995734,0.0,0.0,0.03980317176319659,0.0,0.005214215500978753,0.0,-0.054657606210001666,-0.17626399399480955,,,,,,,,
exp1,qaoa,1,accuracy_only,30.0,33.0,335.43648826635695,0.3938855000305921,2.0,40.0,1.0,2048.0,1.0,2.0,local_sim,0.0,0.39660799999999996,0.05,0.0,3.1728639999999997,0.0,0.415645184,0.0,-0.142703654970968,-0.061457150087523824,,,,,,,,
exp1,qaoa,1,hand_designed,30.0,0.0,0.0,0.15270187496207654,1.0,40.0,0.0,512.0,0.0,1.0,qpu_A,0.007583184703934388,7.76816545440217,0.8,0.85,220.48000000000002,0.061439999999999995,12.16304545440217,0.1,-10.745989055045616,-12.112348009748654,,,,,,,,
exp1,qaoa,1,always_simulator,30.0,0.0,0.0,0.14950050006154925,1.0,40.0,0.0,512.0,0.0,1.0,local_sim,0.003791592351967194,3.982159999999999,0.8,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.089969301599833,-2.5799188803162,,,,,,,,
exp1,qaoa,1,classical_only,30.0,0.0,0.0,0.021095167030580342,1.0,40.0,0.0,512.0,0.0,1.0,classical,0.053995897697301364,0.005136844818480313,0.0,0.0,0.0410947585478425,0.0,0.005383413369767368,0.0,-0.05467937768165434,-0.17627614615028192,,,,,,,,
exp1,qaoa,1,oracle_placement,30.0,0.0,0.0,0.0,3.0,40.0,1.0,128.0,1.0,1.0,classical,0.053995897697301364,0.005044384713983163,0.0,0.0,0.040355077711865306,0.0,0.005286515180254355,0.0,-0.054667160376118726,-0.17627894319856668,,,,,,,,
exp1,qaoa,2,random,30.0,42.0,61.98964610728356,0.19303312501870096,3.0,40.0,1.0,2048.0,1.0,0.0,remote_sim,0.0,0.037282549541353543,0.0,0.0,1.2684320000000002,5.073728e-08,0.044895678405353544,0.0,-0.010291062330998394,-0.011423242264780267,,,,,,,,
exp1,qaoa,2,sequential,30.0,42.00000000000002,1076.4406202234618,1.2146860409993678,3.0,40.0,0.0,512.0,1.0,1.0,qpu_A,0.012359719447955535,16.339548221091157,1.0,1.0,261.43999999999994,0.18432,27.124188221091156,0.05,-18.846230255207825,-19.229204491486307,,,,,,,,
exp1,qaoa,2,joint_bo,30.0,42.0,278.22413160712756,0.3915063750464469,2.0,40.0,1.0,512.0,0.0,0.0,classical,0.02471943889591107,0.005136614287039265,0.0,0.0,0.04109291429631412,0.0,0.00538317177281715,0.0,-0.025256376292755726,-0.02766166614396702,,,,,,,,
exp1,qaoa,2,joint_mf,30.0,44.16,75.99155242715268,0.16859579202719033,2.0,40.0,1.0,2048.0,1.0,0.0,remote_sim,0.0,0.037257973541353545,0.0,0.0,1.2622880000000003,5.049152e-08,0.04483422611735355,0.0,-0.010252423455064975,-0.011383531554478033,,,,,,,,
exp1,qaoa,2,accuracy_only,30.0,33.0,602.9573099380502,0.4239995420211926,2.0,40.0,1.0,2048.0,1.0,0.0,qpu_A,0.0,3.717552835291003,0.7,0.15,11.144000000000002,0.018432,4.706016835291004,0.0,-3.413815731321688,-6.287790671328969,,,,,,,,
exp1,qaoa,2,hand_designed,30.0,0.0,0.0,0.15249937504995614,1.0,40.0,0.0,512.0,0.0,1.0,qpu_A,0.013065143401146413,8.689305750977304,1.0,0.75,220.48000000000002,0.061439999999999995,13.084185750977307,0.05,-10.751328190398272,-12.299400606196935,,,,,,,,
exp1,qaoa,2,always_simulator,30.0,0.0,0.0,0.14965591707732528,1.0,40.0,0.0,512.0,0.0,1.0,local_sim,0.00014108479063817524,3.982159999999999,0.85,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.1270975040012674,-2.5618702409548737,,,,,,,,
exp1,qaoa,2,classical_only,30.0,0.0,0.0,0.020966832991689444,1.0,40.0,0.0,512.0,0.0,1.0,classical,0.02471943889591107,0.005101989198010415,0.0,0.0,0.04081591358408332,0.0,0.0053468846795149145,0.0,-0.025252923330790333,-0.027638076784272297,,,,,,,,
exp1,qaoa,2,oracle_placement,30.0,0.0,0.0,0.0,2.0,40.0,1.0,512.0,0.0,0.0,remote_sim,0.0,0.03560894837310394,0.0,0.0,1.2622880000000003,5.049152e-08,0.04318520094910395,0.0,-0.009516266495223458,-0.010924923317670615,,,,,,,,
exp1,qaoa,3,random,30.0,42.0,96.32781312204386,0.14613108395133168,3.0,80.0,1.0,512.0,0.0,0.0,remote_sim,0.004434574453239361,0.05158251120845694,0.0,0.0,1.2684320000000002,5.073728e-08,0.05919564007245694,0.0,-0.01558123863808169,-0.019266874317409338,,,,,,,,
exp1,qaoa,3,sequential,30.0,42.00000000000002,83.33828160503633,0.5437548330519348,2.0,20.0,1.0,2048.0,1.0,0.0,remote_sim,0.0,0.051906684445127214,0.0,0.0,1.2622880000000003,5.049152e-08,0.059482937021127204,0.0,-0.010958764163796542,-0.01236145027882221,,,,,,,,
exp1,qaoa,3,joint_bo,30.0,42.0,88.30607782571433,0.30177554104011506,2.0,20.0,0.0,128.0,1.0,0.0,classical,0.06941228622115993,0.005082521034637466,0.0,0.1,0.04066016827709973,0.0,0.005326482044300064,0.0,-0.5700459514378112,-0.698321009249913,,,,,,,,
exp1,qaoa,3,joint_mf,30.0,44.16,127.15504471411089,0.2703762920573354,1.0,80.0,1.0,128.0,1.0,1.0,classical,0.06941228622115993,0.0050780002202373,0.0,0.1,0.0406240017618984,0.0,0.0053217442308086905,0.0,-0.5700455945531264,-0.6983219867408503,,,,,,,,
exp1,qaoa,3,accuracy_only,30.0,33.0,178.95488679035554,0.3563195000169799,1.0,40.0,1.0,512.0,0.0,0.0,classical,0.06941228622115993,0.005113780964165926,0.0,0.1,0.04091024771332741,0.0,0.00535924245044589,0.0,-0.5700495274122865,-0.6983112184920331,,,,,,,,
exp1,qaoa,3,hand_designed,30.0,0.0,0.0,0.15235037507954985,1.0,40.0,0.0,512.0,0.0,1.0,qpu_A,0.03192894324683194,7.266601639252666,0.95,0.75,220.48000000000002,0.061439999999999995,11.661481639252663,0.15,-10.64430925454852,-12.366102804064631,,,,,,,,
exp1,qaoa,3,always_simulator,30.0,0.0,0.0,0.15008549997583032,1.0,40.0,0.0,512.0,0.0,1.0,local_sim,0.004434574453239361,3.982159999999999,0.75,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-1.9071205425117514,-2.5280180570325985,,,,,,,,
exp1,qaoa,3,classical_only,30.0,0.0,0.0,0.021115333074703813,1.0,40.0,0.0,512.0,0.0,1.0,classical,0.06941228622115993,0.005154729005880654,0.0,0.1,0.04123783204704523,0.0,0.005402155998162924,0.0,-0.5700550045252879,-0.6983314896671045,,,,,,,,
exp1,qaoa,3,oracle_placement,30.0,0.0,0.0,0.0,2.0,20.0,0.0,128.0,1.0,0.0,classical,0.06941228622115993,0.0051874057680834085,0.0,0.1,0.04149924614466727,0.0,0.005436401244951412,0.0,-0.5700588336662549,-0.6983158795433886,,,,,,,,
exp1,qaoa,4,random,30.0,42.0,90.91045694610385,0.13408491597510874,2.0,20.0,1.0,128.0,1.0,1.0,local_sim,0.05042492122710622,0.24660800000000002,0.05,0.05,1.9728640000000002,0.0,0.25844518400000005,0.0,-0.4306459370005542,-0.2871987632648873,,,,,,,,
exp1,qaoa,4,sequential,30.0,42.00000000000002,190.3153388288067,0.7821352920727804,1.0,80.0,0.0,2048.0,0.0,2.0,classical,0.05568648905199882,0.005161114269867539,0.0,0.0,0.041288914158940315,0.0,0.005408847754821181,0.0,-0.05628387093145586,-0.2851046440829067,,,,,,,,
exp1,qaoa,4,joint_bo,30.0,42.0,117.34506982069567,0.24678412498906255,1.0,40.0,0.0,128.0,1.0,0.0,classical,0.05568648905199882,0.005051447980804369,0.0,0.0,0.04041158384643495,0.0,0.005293917483882979,0.0,-0.056272193553277505,-0.28508572331364984,,,,,,,,
exp1,qaoa,4,joint_mf,30.0,44.16,52.16723084606071,0.2506828340701759,3.0,40.0,0.0,2048.0,0.0,1.0,classical,0.05568648905199882,0.0050789892848115414,0.0,0.0,0.04063191427849233,0.0,0.0053227807704824956,0.0,-0.05627483701094179,-0.28511053908817513,,,,,,,,
exp1,qaoa,4,accuracy_only,30.0,33.0,291.81865057304384,1.0586967910639942,2.0,80.0,0.0,2048.0,0.0,2.0,qpu_A,0.015559393952587219,37.17263641600549,1.0,1.0,563.84,0.49151999999999996,65.13167641600549,0.2,-38.01468345957331,-39.31691312528076,,,,,,,,
exp1,qaoa,4,hand_designed,30.0,0.0,0.0,0.1498838330153376,1.0,40.0,0.0,512.0,0.0,1.0,qpu_A,0.0021245199191804688,6.753694651120007,1.0,0.7,220.48000000000002,0.061439999999999995,11.148574651120004,0.1,-10.37571875231995,-12.142799879741418,,,,,,,,
exp1,qaoa,4,always_simulator,30.0,0.0,0.0,0.14782725006807595,1.0,40.0,0.0,512.0,0.0,1.0,local_sim,0.0016418271810601838,3.982159999999999,0.9,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.2209886152829768,-2.5669950695507224,,,,,,,,
exp1,qaoa,4,classical_only,30.0,0.0,0.0,0.020908458973281085,1.0,40.0,0.0,512.0,0.0,1.0,classical,0.05568648905199882,0.0050933341844938695,0.0,0.0,0.040746673475950956,0.0,0.005337814225349574,0.0,-0.056277058694588974,-0.2850960196738571,,,,,,,,
exp1,qaoa,4,oracle_placement,30.0,0.0,0.0,0.0,1.0,40.0,0.0,128.0,1.0,0.0,classical,0.05568648905199882,0.0049243019602727145,0.0,0.0,0.039394415682181716,0.0,0.005160668454365805,0.0,-0.05625792535224665,-0.28508005786528995,,,,,,,,
exp1,qaoa,5,random,30.0,42.0,184.2111792356371,0.2811385829700157,2.0,80.0,1.0,2048.0,1.0,1.0,local_sim,0.0,0.24660800000000002,0.05,0.0,1.9728640000000002,0.0,0.25844518400000005,0.0,-0.12491744148830182,-0.03854034371901456,,,,,,,,
exp1,qaoa,5,sequential,30.0,42.00000000000002,87.83867662238026,0.5180844170972705,3.0,20.0,1.0,128.0,1.0,0.0,remote_sim,0.0728566423596886,0.043395465037610895,0.0,0.45,1.2684320000000002,5.073728e-08,0.051008593901610874,0.0,-2.332759916292907,-5.1228869531617525,,,,,,,,
exp1,qaoa,5,joint_bo,30.0,42.0,63.039351240224796,0.08242308301851153,2.0,40.0,1.0,2048.0,1.0,0.0,remote_sim,0.0,0.046048332022211626,0.0,0.0,1.2622880000000003,5.049152e-08,0.053624584598211636,0.0,-0.009924007988799565,-0.011400163980111776,,,,,,,,
exp1,qaoa,5,joint_mf,30.0,44.16,591.2138676352616,0.2776147919939831,3.0,80.0,1.0,2048.0,0.0,1.0,remote_sim,0.0,0.08607290802221164,0.0,0.0,1.2684320000000002,5.073728e-08,0.09368603688621162,0.0,-0.012083815243921903,-0.015710525215184196,,,,,,,,
exp1,qaoa,5,accuracy_only,30.0,33.0,157.60281077967318,0.9028752919984981,3.0,40.0,0.0,2048.0,0.0,1.0,remote_sim,0.003099370989175107,1.4911205911899996,0.35,0.05,50.73728000000001,2.029491200000001e-06,1.7956457457499997,0.1,-1.349653864263976,-2.482960968161076,,,,,,,,
exp1,qaoa,5,hand_designed,30.0,0.0,0.0,0.14854370802640915,1.0,40.0,0.0,512.0,0.0,1.0,qpu_A,0.014255320790185298,11.95094254553811,0.95,0.8,220.48000000000002,0.061439999999999995,16.34582254553811,0.05,-11.225858225805307,-12.560450834467384,,,,,,,,
exp1,qaoa,5,always_simulator,30.0,0.0,0.0,0.15162958297878504,1.0,40.0,0.0,512.0,0.0,1.0,local_sim,0.003099370989175107,3.982159999999999,0.85,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.170089907651402,-2.569161759399848,,,,,,,,
exp1,qaoa,5,classical_only,30.0,0.0,0.0,0.0211068750359118,1.0,40.0,0.0,512.0,0.0,1.0,classical,0.04598828716567185,0.005141083791386336,0.0,0.3,0.04112867033109069,0.0,0.00538785581337288,0.0,-1.5465843238304242,-5.100722527711093,,,,,,,,
