workload,method,utility,cvar10,service_violation,deadline_miss,infeasible,wall_s,evaluations,unique_candidates,peak_rss_mb
qaoa,capo_chance,-0.08240984745988039,-0.6589066006841574,0.012499999999999999,0.0020833333333333333,0.010416666666666666,0.0607343750307336,178.5,27.25,176.21875
qaoa,capo_joint_only,-0.21998576771672226,-1.6183364959439206,0.043750000000000004,0.014583333333333332,0.029166666666666664,0.19982479151804,30.0,10.0,176.203125
qaoa,capo_mf_no_rescore,-0.2955699125816282,-1.0558356075269397,0.05625,0.004166666666666667,0.049999999999999996,0.20663116703508416,54.0,24.083333333333332,176.21875
qaoa,classical_only,-0.5312230938955936,-2.027855388682673,0.09375,0.0,0.09375,4.916975740343332e-06,0.0,0.0,176.21875
qaoa,device_aware_sequential,-3.1613918446191707,-5.3276543947663,0.3854166666666667,0.2791666666666666,0.2833333333333333,0.3739835415035486,42.0,20.25,176.21875
qaoa,fixed_design_scheduler,-0.5312241198356212,-2.0278587635866754,0.09375,0.0,0.09375,0.2205050209886394,42.0,9.416666666666666,176.21875
qaoa,joint_mf,-0.4241012626546649,-1.3774138148911172,0.07916666666666666,0.004166666666666667,0.075,0.20603985403431574,66.0,24.666666666666668,176.21875
qaoa,random,-0.21628169235672282,-1.358286731445852,0.04791666666666666,0.024999999999999998,0.02291666666666667,0.2355103960144333,42.0,10.0,176.203125
qaoa,sequential,-0.3191452413918857,-1.6316916756596136,0.08333333333333333,0.060416666666666674,0.024999999999999998,0.5453428539331071,84.0,39.666666666666664,176.203125
qaoa_channel,capo_chance,-0.0098901720463024,-0.0756725087655644,0.0020833333333333333,0.0020833333333333333,0.0,0.0682498340029269,164.41666666666666,24.333333333333332,181.0625
qaoa_channel,capo_joint_only,-0.006096803755407917,-0.021465574597341715,0.0,0.0,0.0,0.17825581249780945,30.0,10.0,181.03125
qaoa_channel,capo_mf_no_rescore,-0.015212805809988142,-0.09773800539732913,0.0020833333333333333,0.0020833333333333333,0.0,0.2100536875077523,54.0,24.583333333333332,181.0625
qaoa_channel,classical_only,-0.005320666916892959,-0.045908280650291976,0.0,0.0,0.0,5.603476893156767e-06,0.0,0.0,181.0625
