regime,seed,drift_strength,policy,action_loss,service_violation
qpu_opportunity,132,1.5,static_certificate,0.09025686629468989,0.09
qpu_opportunity,132,1.5,expire_fallback,0.3,0.0
qpu_opportunity,133,0.0,static_certificate,0.07689536386099208,0.04
qpu_opportunity,133,0.0,expire_fallback,0.3,0.0
qpu_opportunity,133,0.5,static_certificate,0.08689536386099206,0.05
qpu_opportunity,133,0.5,expire_fallback,0.3,0.0
qpu_opportunity,133,1.0,static_certificate,0.08689536386099206,0.05
qpu_opportunity,133,1.0,expire_fallback,0.3,0.0
qpu_opportunity,133,1.5,static_certificate,0.09689536386099207,0.06
qpu_opportunity,133,1.5,expire_fallback,0.3,0.0
qpu_opportunity,134,0.0,static_certificate,0.3,0.0
qpu_opportunity,134,0.0,expire_fallback,0.3,0.0
qpu_opportunity,134,0.5,static_certificate,0.3,0.0
qpu_opportunity,134,0.5,expire_fallback,0.3,0.0
qpu_opportunity,134,1.0,static_certificate,0.3,0.0
qpu_opportunity,134,1.0,expire_fallback,0.3,0.0
qpu_opportunity,134,1.5,static_certificate,0.3,0.0
qpu_opportunity,134,1.5,expire_fallback,0.3,0.0
qpu_opportunity,135,0.0,static_certificate,0.3,0.0
qpu_opportunity,135,0.0,expire_fallback,0.3,0.0
qpu_opportunity,135,0.5,static_certificate,0.3,0.0
qpu_opportunity,135,0.5,expire_fallback,0.3,0.0
qpu_opportunity,135,1.0,static_certificate,0.3,0.0
qpu_opportunity,135,1.0,expire_fallback,0.3,0.0
qpu_opportunity,135,1.5,static_certificate,0.3,0.0
qpu_opportunity,135,1.5,expire_fallback,0.3,0.0
qpu_opportunity,136,0.0,static_certificate,0.02,0.02
qpu_opportunity,136,0.0,expire_fallback,0.3,0.0
qpu_opportunity,136,0.5,static_certificate,0.02,0.02
qpu_opportunity,136,0.5,expire_fallback,0.3,0.0
qpu_opportunity,136,1.0,static_certificate,0.03,0.03
qpu_opportunity,136,1.0,expire_fallback,0.3,0.0
qpu_opportunity,136,1.5,static_certificate,0.04,0.04
qpu_opportunity,136,1.5,expire_fallback,0.3,0.0
qpu_opportunity,137,0.0,static_certificate,0.026543212485615447,0.02
qpu_opportunity,137,0.0,expire_fallback,0.3,0.0
qpu_opportunity,137,0.5,static_certificate,0.03642446991392188,0.03
qpu_opportunity,137,0.5,expire_fallback,0.3,0.0
qpu_opportunity,137,1.0,static_certificate,0.04642446991392189,0.04
qpu_opportunity,137,1.0,expire_fallback,0.3,0.0
qpu_opportunity,137,1.5,static_certificate,0.04642446991392189,0.04
qpu_opportunity,137,1.5,expire_fallback,0.3,0.0
qpu_opportunity,138,0.0,static_certificate,0.3,0.0
qpu_opportunity,138,0.0,expire_fallback,0.3,0.0
qpu_opportunity,138,0.5,static_certificate,0.3,0.0
qpu_opportunity,138,0.5,expire_fallback,0.3,0.0
qpu_opportunity,138,1.0,static_certificate,0.3,0.0
qpu_opportunity,138,1.0,expire_fallback,0.3,0.0
qpu_opportunity,138,1.5,static_certificate,0.3,0.0
qpu_opportunity,138,1.5,expire_fallback,0.3,0.0
qpu_opportunity,139,0.0,static_certificate,0.3,0.0
qpu_opportunity,139,0.0,expire_fallback,0.3,0.0
qpu_opportunity,139,0.5,static_certificate,0.3,0.0
qpu_opportunity,139,0.5,expire_fallback,0.3,0.0
qpu_opportunity,139,1.0,static_certificate,0.3,0.0
qpu_opportunity,139,1.0,expire_fallback,0.3,0.0
qpu_opportunity,139,1.5,static_certificate,0.3,0.0
qpu_opportunity,139,1.5,expire_fallback,0.3,0.0
qpu_opportunity,140,0.0,static_certificate,0.3,0.0
qpu_opportunity,140,0.0,expire_fallback,0.3,0.0
qpu_opportunity,140,0.5,static_certificate,0.3,0.0
qpu_opportunity,140,0.5,expire_fallback,0.3,0.0
qpu_opportunity,140,1.0,static_certificate,0.3,0.0
qpu_opportunity,140,1.0,expire_fallback,0.3,0.0
qpu_opportunity,140,1.5,static_certificate,0.3,0.0
qpu_opportunity,140,1.5,expire_fallback,0.3,0.0
qpu_opportunity,141,0.0,static_certificate,0.3,0.0
qpu_opportunity,141,0.0,expire_fallback,0.3,0.0
qpu_opportunity,141,0.5,static_certificate,0.3,0.0
qpu_opportunity,141,0.5,expire_fallback,0.3,0.0
qpu_opportunity,141,1.0,static_certificate,0.3,0.0
qpu_opportunity,141,1.0,expire_fallback,0.3,0.0
qpu_opportunity,141,1.5,static_certificate,0.3,0.0
qpu_opportunity,141,1.5,expire_fallback,0.3,0.0
qpu_opportunity,142,0.0,static_certificate,0.3,0.0
