method,utility,deadline_miss,infeasible
accuracy_only,-211.83018254727327,0.45583333333333337,0.09166666666666666
always_simulator,-1.3803489546380423,0.5075,0.005833333333333334
classical_only,-0.11815514936972017,0.0,0.007500000000000001
feasible_random,-0.0910441994529353,0.0025000000000000005,0.003333333333333333
hand_designed,-598.8917737006893,0.9049999999999999,0.47333333333333333
joint_bo,-11.886683541258298,0.04583333333333333,0.0025000000000000005
joint_mf,-0.07522024380780921,0.0025000000000000005,0.0016666666666666668
joint_rf,-0.07108607404989079,0.0008333333333333334,0.0016666666666666668
oracle_placement,-0.08898898019243281,0.0008333333333333334,0.004166666666666667
random,-0.09981398711065467,0.005833333333333334,0.003333333333333333
sequential,-59.60711935977651,0.2008333333333333,0.0825
