method,search_units,modeled_search_s,wall_s,evaluations,unique_candidates,peak_rss_mb
capo_chance,43.61666666666664,5.297966090254127,0.0741336254868656,137.53333333333333,19.033333333333335,195.5625
capo_joint_only,30.0,114.19991061824885,0.31766702054301277,30.0,9.983333333333333,195.5625
capo_mf_no_rescore,32.16,139.19283098206697,0.29326454148394987,54.0,25.016666666666666,195.5625
classical_only,0.0,0.0,5.41651388630271e-06,0.0,0.0,195.5625
device_aware_sequential,42.0,296.7560113180895,0.5502425000304356,42.0,20.816666666666666,195.5625
fixed_design_scheduler,42.0,154.46238603647183,0.262418354046531,42.0,9.6,195.5625
joint_mf,44.16,130.82358567961256,0.299024541513063,66.0,24.95,195.5625
random,42.0,136.8298416976311,0.27612237504217774,42.0,9.983333333333333,195.5625
sequential,42.00000000000002,82.0012672622849,0.729970145970583,84.0,47.03333333333333,195.5625
