experiment,workload,seed,method,placement,draws,utility,utility_p10,service_violation,deadline_miss,quality_loss,delay_s,trace_runtime_s
public_trace_calibrated_simulation,qaoa,105,device_aware_sequential,classical,20,-0.022073366131712045,-0.07566865604980097,0.0,0.0,0.021551343577410384,0.005326760758180171,0.0
public_trace_calibrated_simulation,qaoa,105,fixed_design_scheduler,classical,20,-0.02206648770861496,-0.07557767335492364,0.0,0.0,0.021551343577410384,0.0052565727673936635,0.0
public_trace_calibrated_simulation,qaoa,105,classical_only,classical,20,-0.022040150230537923,-0.07558223038391854,0.0,0.0,0.021551343577410384,0.004987822991097346,0.0
public_trace_calibrated_simulation,qaoa,106,sequential,classical,20,-0.11541014405342784,-0.21641046512564685,0.0,0.0,0.11492701527717793,0.004929885471938178,0.0
public_trace_calibrated_simulation,qaoa,106,joint_mf,remote_sim,20,-0.02483038656642998,-0.019328710176,0.0,0.0,0.005501676390429975,0.23504915200000004,0.0
public_trace_calibrated_simulation,qaoa,106,capo_chance,remote_sim,20,-0.011790605088000002,-0.011790605088000002,0.0,0.0,0.0,0.08502457599999999,0.0
public_trace_calibrated_simulation,qaoa,106,device_aware_sequential,classical,20,-0.11542585971092842,-0.21643547001034064,0.0,0.0,0.11492701527717793,0.005090249323984608,0.0
public_trace_calibrated_simulation,qaoa,106,fixed_design_scheduler,classical,20,-0.11542294635923382,-0.2164504494244004,0.0,0.0,0.11492701527717793,0.005060521245468408,0.0
public_trace_calibrated_simulation,qaoa,106,classical_only,classical,20,-0.11544127436980407,-0.21643632341544186,0.0,0.0,0.11492701527717793,0.005247541761491448,0.0
public_trace_calibrated_simulation,qaoa,107,sequential,classical,20,-0.013656001543901472,-0.04472858620888058,0.0,0.0,0.013164938857122869,0.005010843742638826,0.0
public_trace_calibrated_simulation,qaoa,107,joint_mf,remote_sim,20,-0.012023603491003104,-0.011790605088000002,0.0,0.0,0.00023299840300310048,0.08502457599999999,0.0
public_trace_calibrated_simulation,qaoa,107,capo_chance,classical,20,-0.013645226672741661,-0.04472044824516836,0.0,0.0,0.013164938857122869,0.0049008960777428,0.0
public_trace_calibrated_simulation,qaoa,107,device_aware_sequential,qpu_B,20,-24.926584462945605,-45.53940902293695,1.0,1.0,0.15066237547866726,273.11204174933874,49.37829174933874
public_trace_calibrated_simulation,qaoa,107,fixed_design_scheduler,classical,20,-0.013660760723678939,-0.044714180327360215,0.0,0.0,0.013164938857122869,0.005059406801592559,0.0
public_trace_calibrated_simulation,qaoa,107,classical_only,classical,20,-0.013646368934757156,-0.04472010499726951,0.0,0.0,0.013164938857122869,0.0049125518125947565,0.0
public_trace_calibrated_simulation,qaoa,108,sequential,remote_sim,20,-0.011866815263999998,-0.011866815264,0.0,0.0,0.0,0.085073728,0.0
public_trace_calibrated_simulation,qaoa,108,joint_mf,classical,20,-0.09801229435379451,-0.22996368805412415,0.0,0.0,0.09751129077193857,0.005112281447509304,0.0
public_trace_calibrated_simulation,qaoa,108,capo_chance,local_sim,20,-0.020247584,-0.020247584000000002,0.0,0.0,0.0,0.20660800000000004,0.0
public_trace_calibrated_simulation,qaoa,108,device_aware_sequential,classical,20,-0.09799318027227949,-0.22992675603938034,0.0,0.0,0.09751129077193857,0.004917239799397066,0.0
public_trace_calibrated_simulation,qaoa,108,fixed_design_scheduler,classical,20,-0.09800134481826629,-0.22993563342385673,0.0,0.0,0.09751129077193857,0.0050005514931399375,0.0
public_trace_calibrated_simulation,qaoa,108,classical_only,classical,20,-0.09800036996183285,-0.22993035970023115,0.0,0.0,0.09751129077193857,0.004990603978512809,0.0
public_trace_calibrated_simulation,qaoa,109,sequential,classical,20,-0.07275877573156343,-0.19757948042035114,0.0,0.0,0.07228076027259542,0.004877708764979616,0.0
public_trace_calibrated_simulation,qaoa,109,joint_mf,remote_sim,20,-0.0206908080532011,-0.023957948305337,0.0,0.0,0.0014002029652010989,0.23502457599999999,0.0
public_trace_calibrated_simulation,qaoa,109,capo_chance,classical,20,-0.0727713502826084,-0.1976069200474491,0.0,0.0,0.07228076027259542,0.005006020510336384,0.0
public_trace_calibrated_simulation,qaoa,109,device_aware_sequential,remote_sim,20,-1.3072085038952816,-2.3818399537773374,0.45,0.45,0.030035893335281654,1.45294912,0.0
public_trace_calibrated_simulation,qaoa,109,fixed_design_scheduler,classical,20,-0.07275524770755168,-0.19758463527101106,0.0,0.0,0.07228076027259542,0.004841708519961685,0.0
public_trace_calibrated_simulation,qaoa,109,classical_only,classical,20,-0.0727706745509206,-0.19761298612821396,0.0,0.0,0.07228076027259542,0.004999125289032236,0.0
public_trace_calibrated_simulation,qaoa,110,sequential,classical,20,-1.297236656965009,-5.035190706139627,0.25,0.0,0.04671660259996613,0.005306677194312215,0.0
public_trace_calibrated_simulation,qaoa,110,joint_mf,remote_sim,20,-0.009828710176000002,-0.009828710176,0.0,0.0,0.0,0.045049152,0.0
public_trace_calibrated_simulation,qaoa,110,capo_chance,remote_sim,20,-0.013649038699150459,-0.011866815264,0.0,0.0,0.0017822234351504603,0.085073728,0.0
public_trace_calibrated_simulation,qaoa,110,device_aware_sequential,classical,20,-1.2972510802676163,-5.0352000206313905,0.25,0.0,0.04671660259996613,0.0054538537515327334,0.0
public_trace_calibrated_simulation,qaoa,110,fixed_design_scheduler,classical,20,-1.2972496562819775,-5.035207366317824,0.25,0.0,0.04671660259996613,0.005439323285827413,0.0
public_trace_calibrated_simulation,qaoa,110,classical_only,classical,20,-1.297206654664032,-5.0351088108349,0.25,0.0,0.04671660259996613,0.00500053126597777,0.0
public_trace_calibrated_simulation,qaoa,111,sequential,remote_sim,20,-0.019328710176000005,-0.019328710176,0.0,0.0,0.0,0.23504915200000004,0.0
public_trace_calibrated_simulation,qaoa,111,joint_mf,classical,20,-1.616520299824057,-5.287138690470267,0.3,0.0,0.1160228335158177,0.005076186818769202,0.0
public_trace_calibrated_simulation,qaoa,111,capo_chance,remote_sim,20,-0.009790605088,-0.009790605088,0.0,0.0,0.0,0.045024576,0.0
public_trace_calibrated_simulation,qaoa,111,device_aware_sequential,classical,20,-1.6165242300875111,-5.287139999316438,0.3,0.0,0.1160228335158177,0.005116291547892615,0.0
public_trace_calibrated_simulation,qaoa,111,fixed_design_scheduler,classical,20,-1.616533134830054,-5.287172382259757,0.3,0.0,0.1160228335158177,0.005207156267715618,0.0
public_trace_calibrated_simulation,qaoa,111,classical_only,classical,20,-1.616537694816755,-5.287124872912668,0.3,0.0,0.1160228335158177,0.0052536867442540824,0.0
public_trace_calibrated_simulation,qaoa_channel,100,sequential,qpu_B,20,-10.076802467838757,-17.435554967838755,1.0,1.0,0.0,159.2157293567751,21.072879356775136
public_trace_calibrated_simulation,qaoa_channel,100,joint_mf,classical,20,-0.0005315530327497981,-0.0005519461808726191,0.0,0.0,0.0,0.005424010538263246,0.0
public_trace_calibrated_simulation,qaoa_channel,100,capo_chance,classical,20,-0.0005178330965572969,-0.0005354618392884731,0.0,0.0,0.0,0.0052840111893601716,0.0
public_trace_calibrated_simulation,qaoa_channel,100,device_aware_sequential,classical,20,-0.0005525423083454369,-0.0005901720279362052,0.0,0.0,0.0,0.0056381868198513985,0.0
public_trace_calibrated_simulation,qaoa_channel,100,fixed_design_scheduler,classical,20,-0.0005611530515016056,-0.0006398910237476229,0.0,0.0,0.0,0.005726051545934752,0.0
public_trace_calibrated_simulation,qaoa_channel,100,classical_only,classical,20,-0.0005211833359207959,-0.0005617261191364377,0.0,0.0,0.0,0.005318197305314243,0.0
public_trace_calibrated_simulation,qaoa_channel,101,sequential,qpu_B,20,-11.234127009369374,-29.55193450936937,1.0,1.0,0.0,181.78878018738746,33.59133018738747
public_trace_calibrated_simulation,qaoa_channel,101,joint_mf,classical,20,-0.0031488651098307203,-0.01359721597119746,0.0,0.0,0.0026133532690555774,0.005464406538521871,0.0
public_trace_calibrated_simulation,qaoa_channel,101,capo_chance,classical,20,-0.003136074055856651,-0.013564604329048182,0.0,0.0,0.0026133532690555774,0.005333885579602793,0.0
public_trace_calibrated_simulation,qaoa_channel,101,device_aware_sequential,classical,20,-0.0031740357458448025,-0.013612926426330108,0.0,0.0,0.0026133532690555774,0.005721249763155356,0.0
public_trace_calibrated_simulation,qaoa_channel,101,fixed_design_scheduler,classical,20,-0.0032925963127609322,-0.013714881194625508,0.0,0.0,0.0026133532690555774,0.006931051466381177,0.0
public_trace_calibrated_simulation,qaoa_channel,101,classical_only,classical,20,-0.0031898688930059767,-0.013613951224354555,0.0,0.0,0.0026133532690555774,0.00588281248928979,0.0
public_trace_calibrated_simulation,qaoa_channel,102,sequential,classical,20,-0.0005477403915720061,-0.0005436469437554479,0.0,0.0,0.0,0.0055891876691021025,0.0
public_trace_calibrated_simulation,qaoa_channel,102,joint_mf,remote_sim,20,-0.011866815263999998,-0.011866815264,0.0,0.0,0.0,0.085073728,0.0
public_trace_calibrated_simulation,qaoa_channel,102,capo_chance,classical,20,-0.0005147807811736128,-0.0005303657719632611,0.0,0.0,0.0,0.005252865114016458,0.0
public_trace_calibrated_simulation,qaoa_channel,102,device_aware_sequential,classical,20,-0.0005428965335595421,-0.0005713382468093187,0.0,0.0,0.0,0.00553976054652594,0.0
public_trace_calibrated_simulation,qaoa_channel,102,fixed_design_scheduler,classical,20,-0.0005159036455443128,-0.0005286750080995262,0.0,0.0,0.0,0.0052643229137174785,0.0
public_trace_calibrated_simulation,qaoa_channel,102,classical_only,classical,20,-0.0005700639148126356,-0.0006720693805254995,0.0,0.0,0.0,0.005816978722577915,0.0
public_trace_calibrated_simulation,qaoa_channel,103,sequential,classical,20,-0.0005153024012688548,-0.0005407189290272072,0.0,0.0,0.0,0.005258187768049538,0.0
public_trace_calibrated_simulation,qaoa_channel,103,joint_mf,classical,20,-0.0005145051241270268,-0.0005375461691292003,0.0,0.0,0.0,0.005250052287010476,0.0
public_trace_calibrated_simulation,qaoa_channel,103,capo_chance,classical,20,-0.000520859779440798,-0.000530388395418413,0.0,0.0,0.0,0.00531489570857957,0.0
public_trace_calibrated_simulation,qaoa_channel,103,device_aware_sequential,qpu_A,20,-773.9824918566453,-2137.054746856645,1.0,1.0,0.0,15403.688237132903,31.028637132902787
public_trace_calibrated_simulation,qaoa_channel,103,fixed_design_scheduler,classical,20,-0.0005336752394796349,-0.0005501494929194451,0.0,0.0,0.0,0.0054456657089758664,0.0
public_trace_calibrated_simulation,qaoa_channel,103,classical_only,classical,20,-0.0005185669755446724,-0.000542440484976396,0.0,0.0,0.0,0.005291499750455841,0.0
public_trace_calibrated_simulation,qaoa_channel,104,sequential,classical,20,-0.0005345746302045882,-0.0005539671581937,0.0,0.0,0.0,0.0054548431653529406,0.0
public_trace_calibrated_simulation,qaoa_channel,104,joint_mf,classical,20,-0.0005289937158813701,-0.0005419403103878721,0.0,0.0,0.0,0.00539789506001398,0.0
public_trace_calibrated_simulation,qaoa_channel,104,capo_chance,remote_sim,20,-0.01936681526399999,-0.019366815263999998,0.0,0.0,0.0,0.23507372799999998,0.0
public_trace_calibrated_simulation,qaoa_channel,104,device_aware_sequential,qpu_B,20,-21.08375903974628,-42.242166539746265,1.0,1.0,0.0,265.9247807949256,71.93743079492558
public_trace_calibrated_simulation,qaoa_channel,104,fixed_design_scheduler,classical,20,-0.0005677588380058296,-0.0006163931828923523,0.0,0.0,0.0,0.005793457530671731,0.0
public_trace_calibrated_simulation,qaoa_channel,104,classical_only,classical,20,-0.0005333149412763305,-0.0005685205770423636,0.0,0.0,0.0,0.00544198919669725,0.0
public_trace_calibrated_simulation,qaoa_channel,105,sequential,classical,20,-0.0005660745599889197,-0.0006396726669045165,0.0,0.0,0.0,0.005776271020295098,0.0
