experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,qaoa_channel,0,random,30.0,42.0,136.0793030073973,5.251371875056066,2,20,1,128,1,1,classical,0.0024376744693569282,0.0056140107626561075,0.0,0.0,0.04491208610124886,0.0,0.005883483279263602,0.0,-0.003079342503223166,-0.0035345592489422154
exp1,qaoa_channel,0,sequential,30.0,42.00000000000002,90.7509057549216,0.4591640419093892,2,40,1,128,0,1,remote_sim,0.0,0.09978678043901802,0.0,0.0,1.2622880000000003,5.049152e-08,0.10736303301501801,0.0,-0.01492443363461066,-0.018676801757529286
exp1,qaoa_channel,0,joint_bo,30.0,42.0,95.50730823375233,0.35811404197011143,3,80,1,128,1,0,local_sim,0.0,0.30491199999999996,0.0,0.0,2.4392959999999997,0.0,0.31954777600000006,0.0,-0.03691283501528804,-0.04517101042969275
exp1,qaoa_channel,0,joint_mf,30.0,44.16,626.3438942874996,0.29582912498153746,3,40,1,2048,0,0,remote_sim,0.0,0.059665203949076,0.0,0.0,1.2684320000000002,5.073728e-08,0.067278332813076,0.0,-0.011316912534034693,-0.013704214483840634
exp1,qaoa_channel,0,accuracy_only,30.0,33.0,63.202010102307774,0.40967391699086875,3,20,1,512,0,0,qpu_A,0.0,2.292770824599309,0.55,0.0,5.5120000000000005,0.0015359999999999998,2.402642824599309,0.0,-1.3782105485958012,-2.4054895490883434
exp1,qaoa_channel,0,hand_designed,30.0,0.0,0.0,0.16976533399429172,1,40,0,512,0,1,qpu_A,0.0,9.128793305486663,1.0,0.8,220.48000000000002,0.061439999999999995,13.523673305486664,0.1,-11.010122682801795,-12.154003438341894
exp1,qaoa_channel,0,always_simulator,30.0,0.0,0.0,0.16472862497903407,1,40,0,512,0,1,local_sim,0.0012188372346784641,3.982159999999999,0.8,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.07646832966143,-2.606909430465116
exp1,qaoa_channel,0,classical_only,30.0,0.0,0.0,0.022694250103086233,1,40,0,512,0,1,classical,0.0024376744693569282,0.00554783278494142,0.0,0.0,0.04438266227953136,0.0,0.005814128758618609,0.0,-0.003065702484205288,-0.003293094925514878
exp1,qaoa_channel,0,oracle_placement,30.0,0.0,0.0,0.0,3,80,1,128,1,0,classical,0.0024376744693569282,0.005884385580429807,0.0,0.0,0.04707508464343846,0.0,0.0061668360882904385,0.0,-0.0031051595658244855,-0.00337392990446193
exp1,qaoa_channel,1,random,30.0,42.0,213.81087135986627,0.14718966698274016,2,40,1,2048,0,1,classical,0.005983357011829274,0.005841614358359948,0.0,0.0,0.04673291486687958,0.0,0.0061220118475612244,0.0,-0.00664861241969405,-0.0009906902538516702
exp1,qaoa_channel,1,sequential,30.0,42.00000000000002,672.1348273579177,2.5520083339652047,3,80,0,128,1,2,local_sim,0.0,23.79296,1.0,0.4,190.34368,0.0,24.935022080000003,0.0,-6.699509606737935,-9.793503685327014
exp1,qaoa_channel,1,joint_bo,30.0,42.0,269.3134058226672,0.21971241699066013,3,40,0,512,0,0,classical,0.005983357011829274,0.0060221255116630346,0.0,0.0,0.048177004093304276,0.0,0.006311187536222859,0.0,-0.006667580262434599,-0.0009620568965826376
exp1,qaoa_channel,1,joint_mf,30.0,44.16,53.48994569574866,0.20258412510156631,2,40,0,512,0,1,classical,0.005983357011829274,0.00573679170338437,0.0,0.0,0.04589433362707496,0.0,0.00601215770514682,0.0,-0.00663570046001073,-0.0009387782291111225
exp1,qaoa_channel,1,accuracy_only,30.0,33.0,150.2886950873865,0.5063127499306574,2,80,1,512,0,2,remote_sim,0.0,0.22838913229951957,0.0,0.0,1.2622880000000003,5.049152e-08,0.2359653848755195,0.0,-0.021269746012361212,-0.03399422339156181
exp1,qaoa_channel,1,hand_designed,30.0,0.0,0.0,0.16960533300880343,1,40,0,512,0,1,qpu_A,0.023933428047317094,7.814775162078625,1.0,0.75,220.48000000000002,0.061439999999999995,12.209655162078624,0.05,-10.680399527010817,-12.107937782488202
exp1,qaoa_channel,1,always_simulator,30.0,0.0,0.0,0.1725591659778729,1,40,0,512,0,1,local_sim,0.011966714023658547,3.982159999999999,0.8,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.098144423271525,-2.5799188803162
exp1,qaoa_channel,1,classical_only,30.0,0.0,0.0,0.02473245793953538,1,40,0,512,0,1,classical,0.005983357011829274,0.006042468303348869,0.0,0.0,0.04833974642679095,0.0,0.006332506781909615,0.0,-0.006670600261107844,-0.0009786096838392034
exp1,qaoa_channel,1,oracle_placement,30.0,0.0,0.0,0.0,3,40,0,512,0,0,classical,0.005983357011829274,0.005957124987617135,0.0,0.0,0.04765699990093708,0.0,0.006243066987022757,0.0,-0.006660445628687475,-0.0009937856821127147
exp1,qaoa_channel,2,random,30.0,42.0,58.28130688938164,0.21031049999874085,3,40,0,512,1,1,classical,0.00010253103050599272,0.0059709369961638,0.0,0.0,0.0477674959693104,0.0,0.006257541971979662,0.0,-0.0007600636527302798,-0.001068306227038373
exp1,qaoa_channel,2,sequential,30.0,42.00000000000002,1076.4406202234618,1.4574521669419482,3,40,0,512,1,1,qpu_A,0.0,17.42401391752961,1.0,1.0,261.43999999999994,0.18432,28.208653917529613,0.1,-18.920975059312827,-19.51169597309269
exp1,qaoa_channel,2,joint_bo,30.0,42.0,18.31650109679519,0.08526062499731779,2,20,0,512,0,0,classical,0.00010253103050599272,0.005826864769915119,0.0,0.0,0.04661491815932095,0.0,0.0061065542788710445,0.0,-0.000743539760632454,-0.0010502751048509407
exp1,qaoa_channel,2,joint_mf,30.0,44.16,75.9755537484424,0.21100837492849678,1,40,1,512,1,0,classical,0.00010253103050599272,0.0057483956625219434,0.0,0.0,0.04598716530017555,0.0,0.0060243186543229976,0.0,-0.0007356559411991162,-0.00101360175505306
exp1,qaoa_channel,2,accuracy_only,30.0,33.0,152.72553555059298,0.38866787508595735,3,40,1,2048,0,0,remote_sim,0.0,0.037282549541353543,0.0,0.0,1.2684320000000002,5.073728e-08,0.044895678405353544,0.0,-0.010291062330998394,-0.011423242264780267
exp1,qaoa_channel,2,hand_designed,30.0,0.0,0.0,0.1769858340267092,1,40,0,512,0,1,qpu_A,5.126551525299636e-05,8.769631144177673,1.0,0.75,220.48000000000002,0.061439999999999995,13.164511144177672,0.1,-10.755941923810102,-12.385392861110256
exp1,qaoa_channel,2,always_simulator,30.0,0.0,0.0,0.17044666700530797,1,40,0,512,0,1,local_sim,5.126551525299636e-05,3.982159999999999,0.85,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.1270076847258825,-2.5619221029928663
exp1,qaoa_channel,2,classical_only,30.0,0.0,0.0,0.02369254094082862,1,40,0,512,0,1,classical,0.00010253103050599272,0.005785666522569954,0.0,0.0,0.046285332180559635,0.0,0.006063378515653313,0.0,-0.0007394227988221604,-0.0010343372129679495
exp1,qaoa_channel,2,oracle_placement,30.0,0.0,0.0,0.0,2,20,0,512,0,0,classical,0.00010253103050599272,0.006082364358007908,0.0,0.0,0.04865891486406326,0.0,0.006374317847192288,0.0,-0.0007721912903542209,-0.0010810767748567084
exp1,qaoa_channel,3,random,30.0,42.0,76.13530421137861,0.14445883396547288,2,40,1,512,0,1,remote_sim,0.0,0.09155793520845694,0.0,0.0,1.2622880000000003,5.049152e-08,0.09913418778445694,0.0,-0.01389458127375634,-0.017044856853871027
exp1,qaoa_channel,3,sequential,30.0,42.00000000000002,86.63981273199742,0.6103767920285463,2,20,1,128,0,0,local_sim,0.0,0.20660800000000004,0.0,0.0,1.6528640000000003,0.0,0.21652518400000004,0.0,-0.02285026466563063,-0.03111519733695713
exp1,qaoa_channel,3,joint_bo,30.0,42.0,432.7090285302494,0.30082858307287097,1,20,0,512,1,0,classical,0.006751332188890196,0.0057774679735302925,0.0,0.0,0.04621974378824234,0.0,0.006054786436259747,0.0,-0.00738725819847257,-0.0008937379968846468
exp1,qaoa_channel,3,joint_mf,30.0,44.16,17.645920735921596,0.12866795808076859,2,20,1,2048,0,0,classical,0.006751332188890196,0.005690238962415606,0.0,0.0,0.045521911699324846,0.0,0.005963370432611555,0.0,-0.007376450223503502,-0.000865639346487471
exp1,qaoa_channel,3,accuracy_only,30.0,33.0,176.40161622000542,0.7398426251020283,2,40,0,512,0,2,qpu_B,0.006095335833050808,4.519989785067612,0.85,0.45,220.48000000000002,0.020479999999999998,6.866869785067611,0.1,-6.585658451532933,-9.64560613601233
exp1,qaoa_channel,3,hand_designed,30.0,0.0,0.0,0.17043199995532632,1,40,0,512,0,1,qpu_A,0.0065206339504144,6.981104769473163,0.95,0.7,220.48000000000002,0.061439999999999995,11.375984769473162,0.1,-10.358494569189283,-12.216201272414645
exp1,qaoa_channel,3,always_simulator,30.0,0.0,0.0,0.1633260000962764,1,40,0,512,0,1,local_sim,0.0,3.982159999999999,0.75,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-1.9026859680585122,-2.5280180570325985
exp1,qaoa_channel,3,classical_only,30.0,0.0,0.0,0.023529374971985817,1,40,0,512,0,1,classical,0.006751332188890196,0.0057519375695846975,0.0,0.0,0.04601550055667758,0.0,0.006028030572924762,0.0,-0.007384688617819754,-0.0008839848321773592
exp1,qaoa_channel,3,oracle_placement,30.0,0.0,0.0,0.0,1,20,0,512,1,0,classical,0.006751332188890196,0.005757843493483961,0.0,0.0,0.046062747947871685,0.0,0.0060342199811711916,0.0,-0.0073844827855918975,-0.0008735322693349873
exp1,qaoa_channel,4,random,30.0,42.0,193.69695099072482,0.29575745889451355,3,80,1,128,0,2,classical,0.013782180968253533,0.005960812733974308,0.0,0.0,0.04768650187179446,0.0,0.006246931745205075,0.0,-0.01443129600550766,-0.0009932340166005167
exp1,qaoa_channel,4,sequential,30.0,42.00000000000002,188.93180472055036,0.8992971250554547,1,80,0,2048,0,2,classical,0.013782180968253533,0.005856510251760483,0.0,0.0,0.04685208201408386,0.0,0.006137622743844986,0.0,-0.014421121402210321,-0.0009867660132369743
exp1,qaoa_channel,4,joint_bo,30.0,42.0,240.95706112116184,0.25763445894699544,2,40,1,2048,0,1,classical,0.013782180968253533,0.006055739562725648,0.0,0.0,0.048445916501805186,0.0,0.006346415061736478,0.0,-0.014441209816830006,-0.0009996914666839626
exp1,qaoa_channel,4,joint_mf,30.0,44.16,69.64792996912439,0.22177791595458984,1,80,1,2048,1,2,classical,0.013782180968253533,0.005788469046819955,0.0,0.0,0.04630775237455964,0.0,0.006066315561067313,0.0,-0.014411210401723279,-0.0009559172201972575
exp1,qaoa_channel,4,accuracy_only,30.0,33.0,539.2207491688708,0.49817358306609094,1,20,1,128,1,0,remote_sim,0.06891090484126766,0.04804173535416313,0.0,0.0,1.256144,5.024576000000001e-08,0.05558111164216313,0.0,-0.07993467018365814,-0.28803171810877926
exp1,qaoa_channel,4,hand_designed,30.0,0.0,0.0,0.16947145806625485,1,40,0,512,0,1,qpu_A,0.013782180968253533,6.638501315719876,1.0,0.75,220.48000000000002,0.061439999999999995,11.033381315719875,0.05,-10.66062186851048,-12.167134687258505
exp1,qaoa_channel,4,always_simulator,30.0,0.0,0.0,0.17041266604792327,1,40,0,512,0,1,local_sim,0.0,3.982159999999999,0.9,0.0,31.857279999999992,0.0,4.173303680000001,0.0,-2.2193467881019164,-2.5669950695507224
exp1,qaoa_channel,4,classical_only,30.0,0.0,0.0,0.023682083003222942,1,40,0,512,0,1,classical,0.013782180968253533,0.005788708687759936,0.0,0.0,0.04630966950207949,0.0,0.006066566704772414,0.0,-0.014412391070504415,-0.0009496738465296363
