workload,seed,method,search_cost_units,search_cost_modeled_s,cfg_placement,utility,utility_p10,service_violation,quality_loss,delay_s
vqc_digits,300,joint_mf,44.16,5.207170297424814,classical,-0.05009894245039832,-0.05014644163152883,0.0,0.050000000000000044,0.0010000000000000002
vqc_digits,300,capo_chance,42.999999999999986,4.992174442233342,classical,-0.05009894245039832,-0.05014644163152883,0.0,0.050000000000000044,0.0010000000000000002
vqc_digits,300,sequential,42.00000000000002,2.1058067247751073,remote_sim,-0.051144584020885155,-0.06422104278223482,0.0,0.05000000000000001,0.023917674081904306
vqc_digits,300,device_aware_sequential,42.0,10.341637362871383,remote_sim,-0.03864488189783558,-0.03957759191677645,0.0,0.03749999999999998,0.023917866081904306
vqc_digits,300,fixed_design_scheduler,42.0,14.946970287196159,classical,-0.05009894245039832,-0.05014644163152883,0.0,0.050000000000000044,0.0010000000000000002
vqc_digits,300,classical_only,0.0,0.0,classical,-0.05009894245039832,-0.05014644163152883,0.0,0.050000000000000044,0.0010000000000000002
vqc_digits,301,joint_mf,44.16,2.043087497356892,classical,-0.012610096091525377,-0.012645708438294802,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,301,capo_chance,43.19999999999998,2.948089882884338,classical,-0.012610096091525377,-0.012645708438294802,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,301,sequential,42.00000000000002,5.433164145869804,classical,-0.012610096091525377,-0.012645708438294802,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,301,device_aware_sequential,42.0,6.643530730016477,classical,-0.012610096091525377,-0.012645708438294802,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,301,fixed_design_scheduler,42.0,3.3384648702220914,classical,-0.012610096091525377,-0.012645708438294802,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,301,classical_only,0.0,0.0,classical,-0.012610096091525377,-0.012645708438294802,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,302,joint_mf,44.16,3.133348573462492,classical,-0.037621419810988176,-0.037664746267377716,0.0,0.03749999999999998,0.0010000000000000002
vqc_digits,302,capo_chance,42.999999999999986,2.2591582121585994,classical,-0.037621419810988176,-0.037664746267377716,0.0,0.03749999999999998,0.0010000000000000002
vqc_digits,302,sequential,42.00000000000002,2.4303294656658347,local_sim,-0.03384325041483894,-0.03760853234757732,0.0,0.033749999999999995,0.0007679999999999999
vqc_digits,302,device_aware_sequential,42.0,10.773442458332394,local_sim,-0.03768650082967785,-0.03775305026669218,0.0,0.03749999999999998,0.0015359999999999998
vqc_digits,302,fixed_design_scheduler,42.0,6.311088447171954,classical,-0.037621419810988176,-0.037664746267377716,0.0,0.03749999999999998,0.0010000000000000002
vqc_digits,302,classical_only,0.0,0.0,classical,-0.037621419810988176,-0.037664746267377716,0.0,0.03749999999999998,0.0010000000000000002
vqc_digits,303,joint_mf,44.16,3.9957259775391365,remote_sim,-0.022030442597524156,-0.030085414230284515,0.0,0.019999999999999983,0.0300803597012614
vqc_digits,303,capo_chance,43.199999999999974,7.89522250216754,remote_sim,-0.030155442597524163,-0.03946269368768568,0.0,0.028124999999999994,0.0300803597012614
vqc_digits,303,sequential,42.00000000000002,1.979342916798539,classical,-0.037615827827894764,-0.037657436817461615,0.0,0.03749999999999998,0.0010000000000000002
vqc_digits,303,device_aware_sequential,42.0,6.431538340763076,local_sim,-0.03767791154364637,-0.037741822951621054,0.0,0.03749999999999998,0.0015359999999999998
vqc_digits,303,fixed_design_scheduler,42.0,11.801026532725574,remote_sim,-0.05202933849473337,-0.053815373252665936,0.0,0.050000000000000044,0.0300796557012614
vqc_digits,303,classical_only,0.0,0.0,classical,-0.037615827827894764,-0.037657436817461615,0.0,0.03749999999999998,0.0010000000000000002
vqc_digits,304,joint_mf,44.16,10.100656105371366,local_sim,-0.012674801472169508,-0.012731570599856919,0.0,0.012499999999999956,0.0015359999999999998
vqc_digits,304,capo_chance,42.999999999999986,5.223569961022026,classical,-0.02511380304177708,-0.0251507621092819,0.0,0.025000000000000022,0.0010000000000000002
vqc_digits,304,sequential,42.00000000000002,1.8037089352040365,remote_sim,-0.013675683412403536,-0.014376786816899086,0.0,0.012499999999999956,0.017796895110031855
vqc_digits,304,device_aware_sequential,42.0,7.75825770064669,local_sim,-0.012674801472169508,-0.012731570599856919,0.0,0.012499999999999956,0.0015359999999999998
vqc_digits,304,fixed_design_scheduler,42.0,6.550595503417722,classical,-0.02511380304177708,-0.0251507621092819,0.0,0.025000000000000022,0.0010000000000000002
vqc_digits,304,classical_only,0.0,0.0,classical,-0.02511380304177708,-0.0251507621092819,0.0,0.025000000000000022,0.0010000000000000002
vqc_digits,305,joint_mf,44.16,6.286900095275467,classical,-0.01261162930162349,-0.012648910193322139,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,305,capo_chance,42.999999999999986,4.143509716359946,classical,-0.01261162930162349,-0.012648910193322139,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,305,sequential,42.00000000000002,3.1091262936111037,classical,-0.01261162930162349,-0.012648910193322139,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,305,device_aware_sequential,42.0,10.701347033183065,local_sim,-0.01258573130364683,-0.012614363028471394,0.0,0.012499999999999956,0.0007679999999999999
vqc_digits,305,fixed_design_scheduler,42.0,9.596595290548356,local_sim,-0.1425285771012156,-0.15003260750028136,0.0,0.1425,0.00025600000000000004
vqc_digits,305,classical_only,0.0,0.0,classical,-0.01261162930162349,-0.012648910193322139,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,306,joint_mf,44.16,3.378520223562839,classical,-0.012615216274502244,-0.012657684010546153,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,306,capo_chance,43.299999999999976,2.649449469110979,classical,-0.012615216274502244,-0.012657684010546153,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,306,sequential,42.00000000000002,2.265448864265215,remote_sim,-0.0011619958659705915,-0.002584604211337878,0.0,0.0,0.016075784145195646
vqc_digits,306,device_aware_sequential,42.0,11.695135162588443,remote_sim,-0.03428639386292118,-0.039474670388863584,0.0,0.033124999999999995,0.016075400145195644
vqc_digits,306,fixed_design_scheduler,42.0,9.784163486705479,classical,-0.012615216274502244,-0.012657684010546153,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,306,classical_only,0.0,0.0,classical,-0.012615216274502244,-0.012657684010546153,0.0,0.012499999999999956,0.0010000000000000002
vqc_digits,307,joint_mf,44.16,2.227956964806019,classical,-0.06260848402202661,-0.06265404702245163,0.0,0.0625,0.0010000000000000002
vqc_digits,307,capo_chance,42.999999999999986,5.03200071465517,classical,-0.06260848402202661,-0.06265404702245163,0.0,0.0625,0.0010000000000000002
vqc_digits,307,sequential,42.00000000000002,4.5618638448763535,classical,-0.06260848402202661,-0.06265404702245163,0.0,0.0625,0.0010000000000000002
vqc_digits,307,device_aware_sequential,42.0,8.119134010505203,classical,-0.06260848402202661,-0.06265404702245163,0.0,0.0625,0.0010000000000000002
vqc_digits,307,fixed_design_scheduler,42.0,5.0980061851424825,classical,-0.06260848402202661,-0.06265404702245163,0.0,0.0625,0.0010000000000000002
vqc_digits,307,classical_only,0.0,0.0,classical,-0.06260848402202661,-0.06265404702245163,0.0,0.0625,0.0010000000000000002
