money_energy_scale,rival,cases,finite_fraction,median_break_even
0.5,random,60,0.45,0.0
0.5,feasible_random,60,0.43333333333333335,3907.074560002329
0.5,classical_only,60,0.55,103260.58338285248
1.0,random,60,0.45,0.0
1.0,feasible_random,60,0.43333333333333335,4172.278861239289
1.0,classical_only,60,0.55,81716.83588365314
1.5,random,60,0.43333333333333335,0.0
1.5,feasible_random,60,0.4166666666666667,4109.403060104664
1.5,classical_only,60,0.5333333333333333,101977.17258583792
