workload,method,utility,utility_sd,deadline_miss,infeasible
qaoa,accuracy_only,-4.027805267077531,10.747559461629626,0.30416666666666664,0.1125
qaoa,always_simulator,-2.2254580591780084,0.16997098439446665,0.8624999999999999,0.008333333333333333
qaoa,classical_only,-0.3094436084779762,0.46137124386676087,0.0,0.049999999999999996
qaoa,feasible_random,-0.13996478260553083,0.22319630670100088,0.004166666666666667,0.016666666666666666
qaoa,hand_designed,-10.936054620871218,0.3653046516294429,0.9625,0.7999999999999999
qaoa,joint_bo,-0.14707482306908096,0.22158854627306962,0.004166666666666667,0.016666666666666666
qaoa,joint_mf,-0.07560321244910002,0.15754605490550389,0.0,0.008333333333333333
qaoa,joint_rf,-0.07432891410366398,0.15765956056947641,0.0,0.008333333333333333
qaoa,oracle_placement,-0.11973419034995904,0.2120951233634263,0.0,0.016666666666666666
qaoa,random,-0.1260581481951936,0.1825001840363463,0.012500000000000002,0.012500000000000002
qaoa,sequential,-2.7452734417548723,5.45723311820129,0.2833333333333333,0.1625
qaoa_channel,accuracy_only,-1.0128153358452847,1.880468341323114,0.24583333333333332,0.0375
qaoa_channel,always_simulator,-2.1970080315749727,0.15257573119656515,0.8624999999999999,0.004166666666666667
qaoa_channel,classical_only,-0.007272161059389592,0.009240285742766759,0.0,0.0
qaoa_channel,feasible_random,-0.0072669754997841006,0.009216081034462177,0.0,0.0
qaoa_channel,hand_designed,-10.890026781469691,0.3726395686230342,0.9833333333333334,0.7875
qaoa_channel,joint_bo,-0.011900695914606867,0.012512196595912916,0.0,0.0
qaoa_channel,joint_mf,-0.0096995447203804,0.0086164533873161,0.0,0.0
qaoa_channel,joint_rf,-0.007246881660972283,0.009214645633231324,0.0,0.0
qaoa_channel,oracle_placement,-0.007041286952792392,0.009062007239292996,0.0,0.0
qaoa_channel,random,-0.007816283841625258,0.009412598756605545,0.0,0.0
qaoa_channel,sequential,-2.5316553194093196,5.539367150244571,0.2916666666666667,0.12083333333333333
qaoa_place,accuracy_only,-5.886254936670163,10.877268736543256,0.4791666666666667,0.24166666666666667
qaoa_place,always_simulator,-2.217142831743057,0.15664997944703368,0.8624999999999999,0.004166666666666667
qaoa_place,classical_only,-0.06442338867945167,0.042728357922092994,0.0,0.0
qaoa_place,feasible_random,-0.03309686464527631,0.02332562002449886,0.0,0.0
qaoa_place,hand_designed,-10.798523684247725,0.35300554207368806,0.9625,0.775
qaoa_place,joint_bo,-0.1244071086546258,0.255132110372578,0.024999999999999998,0.0
qaoa_place,joint_mf,-0.03223801598823588,0.02132457988886669,0.0,0.0
qaoa_place,joint_rf,-0.035410132283480604,0.036577579590931726,0.0,0.0
qaoa_place,oracle_placement,-0.0613509874582878,0.04845568662917362,0.004166666666666667,0.0
qaoa_place,random,-0.06860110858147607,0.05012121322431228,0.008333333333333333,0.0
qaoa_place,sequential,-2.5917533088824034,5.5110945859387375,0.3,0.11666666666666665
vqc,accuracy_only,-0.7782572489141345,0.9943236321541284,0.08750000000000001,0.029166666666666664
vqc,always_simulator,-0.23226881412942968,0.0756683587836805,0.0,0.0
vqc,classical_only,-0.2001149487468666,0.07009957775753226,0.0,0.0
vqc,feasible_random,-0.1894893135104624,0.04435429090012317,0.0,0.0
vqc,hand_designed,-0.4008511593613484,0.10932431452671323,0.020833333333333332,0.0
vqc,joint_bo,-0.1822093981309679,0.06487481236801237,0.0,0.0
vqc,joint_mf,-0.17739525100625905,0.03696380248552037,0.0,0.0
vqc,joint_rf,-0.1753514340536925,0.036083197235877766,0.0,0.0
vqc,oracle_placement,-0.16399097090545464,0.04348936037379017,0.0,0.0
vqc,random,-0.1869211721847027,0.07462845454032892,0.0,0.0
vqc,sequential,-0.15652002554834857,0.04145163650136362,0.0,0.0
vqc_cancer,accuracy_only,-0.5141302713778076,1.040035073363369,0.0625,0.029166666666666664
vqc_cancer,always_simulator,-0.06883131412942962,0.018366675528136377,0.0,0.0
vqc_cancer,classical_only,-0.0584482820801999,0.02087298205138937,0.0,0.0
vqc_cancer,feasible_random,-0.05741921075749117,0.0188373126532311,0.0,0.0
vqc_cancer,hand_designed,-0.23762199269468176,0.05880028889332027,0.020833333333333332,0.0
vqc_cancer,joint_bo,-0.05492808527072739,0.014998897089604855,0.0,0.0
vqc_cancer,joint_mf,-0.04938603528888047,0.020732693436064424,0.0,0.0
vqc_cancer,joint_rf,-0.05617810457997868,0.017973019431746274,0.0,0.0
vqc_cancer,oracle_placement,-0.05398726410830717,0.0154071483839671,0.0,0.0
vqc_cancer,random,-0.05460836157803365,0.018388719873056444,0.0,0.0
vqc_cancer,sequential,-0.057023368471998875,0.02764368535578344,0.0,0.0
