method,quality_loss,service_violation,money,energy_j,pareto
capo_chance,0.05176637057365975,0.005416666666666667,1.0086410666666668e-08,0.4571442535351969,True
capo_joint_only,0.06006017952852785,0.00875,3.4144281410666664e-05,0.45995912103532344,False
capo_mf_no_rescore,0.06798945871838542,0.012083333333333333,1.2805886943999999e-05,0.4439968980178601,True
classical_only,0.08556827481865542,0.01875,0.0,0.027566327976652698,True
device_aware_sequential,0.08667753747260455,0.20833333333333334,0.006799034808335994,44.04189543472084,False
fixed_design_scheduler,0.08475056648532207,0.019583333333333335,3.2e-14,0.026385611215131576,True
joint_mf,0.06792078121254173,0.01625,8.41990066666667e-09,0.26885703739471645,True
random,0.06385128266156101,0.011666666666666665,2.560840345666667e-05,0.4504407556138598,True
sequential,0.0594083245455522,0.04,0.000202672566528,1.066847331955793,False
