workload,seed,rival,du,incremental_search_s,n_be
qaoa,0,hand_designed,11.405269460169043,96.95911646254774,8.501256090543139
qaoa,1,hand_designed,10.583587261359174,65.99382831201503,6.235487711520972
qaoa,2,hand_designed,10.726071814105516,278.22413160712756,25.939051726396595
qaoa,3,hand_designed,10.07426330311071,88.30607782571433,8.765512193675479
qaoa,4,hand_designed,10.319446558766671,117.34506982069568,11.371256118479302
qaoa,5,hand_designed,11.215934217816509,63.0393512402248,5.620517204896477
qaoa,6,hand_designed,9.951153827153314,18.644708559061204,1.873622786152309
qaoa,7,hand_designed,10.756965840064913,30.399035923424783,2.82598609825476
qaoa,8,hand_designed,11.370020809379339,114.13221640558154,10.037995384443956
qaoa,9,hand_designed,11.355143313845646,96.59122945030111,8.50638576551691
qaoa,10,hand_designed,10.848585035691588,136.4954194855451,12.581863813251076
qaoa,11,hand_designed,10.861316132163228,143.16133716318174,13.180846171970188
qaoa_channel,0,hand_designed,10.973209847786508,95.50730823375233,8.703680104415195
qaoa_channel,1,hand_designed,10.673731946748383,269.3134058226672,25.231419260506176
qaoa_channel,2,hand_designed,10.75519838404947,18.31650109679519,1.7030370284902911
qaoa_channel,3,hand_designed,10.351107310990812,432.7090285302494,41.80316322977337
qaoa_channel,4,hand_designed,10.64618065869365,240.95706112116184,22.633192958678265
qaoa_channel,5,hand_designed,11.732506121612007,55.298362666958774,4.713260925992252
qaoa_channel,6,hand_designed,10.731236082593215,128.32546494527125,11.958125229713636
qaoa_channel,7,hand_designed,10.777270466669936,27.12080400514514,2.5164817092620653
qaoa_channel,8,hand_designed,11.076211212059908,119.76716177043758,10.813008119602639
qaoa_channel,9,hand_designed,11.360860934621217,96.77424743464918,8.518214243758433
qaoa_channel,10,hand_designed,10.60152934514678,32.2305447607464,3.040178799816373
qaoa_channel,11,hand_designed,10.85847071568913,72.94396626399218,6.717701615071567
qaoa_place,0,hand_designed,9.170449536552864,97.12911943595267,10.591533059399303
qaoa_place,1,hand_designed,11.153362533611103,30.952406884353167,2.775163704315793
qaoa_place,2,hand_designed,10.713634469525719,63.06029736477844,5.885985520987264
qaoa_place,3,hand_designed,10.42144474373264,145.849869331457,13.99516793668841
qaoa_place,4,hand_designed,10.864157375424027,61.68023954029145,5.677406669367589
qaoa_place,5,hand_designed,11.1106370523493,165.62936143941684,14.907278552888663
qaoa_place,6,hand_designed,10.590595908825,37.49594940858626,3.5404947683200145
qaoa_place,7,hand_designed,10.744910863475347,174.46456690169174,16.236948739588026
qaoa_place,8,hand_designed,10.770300530749465,195.8838597076505,18.187408898052325
qaoa_place,9,hand_designed,11.283766091390351,96.75731967319967,8.57491363163108
qaoa_place,10,hand_designed,10.384359312866808,51.42519328596857,4.952177764327728
qaoa_place,11,hand_designed,10.881780488614547,20.74070177028001,1.9060025877181324
vqc,0,hand_designed,0.1290971066243495,8.334687338664333,64.5613798527402
vqc,1,hand_designed,0.35026956121128416,6.579319268177239,18.78358840381384
vqc,2,hand_designed,0.08149670800101899,12.871007797807255,157.9328553694012
vqc,3,hand_designed,0.13535867448168767,4.154799738228642,30.694743090076095
vqc,4,hand_designed,0.16408010634911918,7.793205986536266,47.49634894771692
vqc,5,hand_designed,0.38690266461856254,7.587079099837975,19.609787664083118
vqc,6,hand_designed,0.3736544359069186,5.986588781150779,16.021725438961745
vqc,7,hand_designed,0.1509912350929782,5.164498034395061,34.20395913189821
vqc,8,hand_designed,0.1127518201057121,9.9044427708547,87.84286374773062
vqc,9,hand_designed,0.2352046698398741,4.701652667514841,19.989622955682375
vqc,10,hand_designed,0.16698544030575518,2.1835159450648876,13.076085801653166
vqc,11,hand_designed,0.3369087122273064,8.380500502590143,24.87469215974435
vqc_cancer,0,hand_designed,0.1271994019652942,7.86266380030165,61.81368527539889
vqc_cancer,1,hand_designed,0.2193949092086377,6.760118331090468,30.812557845915226
vqc_cancer,2,hand_designed,0.1697840088192716,10.570337806629846,62.257558177234195
vqc_cancer,3,hand_designed,0.1202734407265045,4.463411700124996,37.1105347378775
vqc_cancer,4,hand_designed,0.16658070752510898,8.070148291149176,48.445875942343136
vqc_cancer,5,hand_designed,0.2669674485799194,8.637296704158583,32.353370233348585
vqc_cancer,6,hand_designed,0.2331834584498565,5.976125549150779,25.62842831510657
vqc_cancer,7,hand_designed,0.12074106760081621,4.8034612491773885,39.78316031673814
vqc_cancer,8,hand_designed,0.146030518315662,7.155502358564168,49.000047668780546
vqc_cancer,9,hand_designed,0.2382436884511511,1.1137524837340325,4.674845705146113
vqc_cancer,10,hand_designed,0.1563871280920048,2.1808414490648884,13.9451467372805
vqc_cancer,11,hand_designed,0.2275411113532254,3.878103441110194,17.04352860916631
qaoa,0,sequential,-0.021988401380677397,6.208210707626137,inf
qaoa,1,sequential,6.610871371034334,0.0,0.0
qaoa,2,sequential,18.82097387891507,0.0,0.0
qaoa,3,sequential,-0.5590871872740147,4.967796220677997,inf
qaoa,4,sequential,1.1677378178302777e-05,0.0,0.0
qaoa,5,sequential,2.3228359083041075,0.0,0.0
qaoa,6,sequential,-0.5321031332346471,0.0,inf
qaoa,7,sequential,0.0281399650153704,0.0,0.0
qaoa,8,sequential,4.445615160381111e-05,0.0,0.0
qaoa,9,sequential,1.5955476833508753,0.0,0.0
qaoa,10,sequential,2.9101624135885644,0.0,0.0
qaoa,11,sequential,0.002974792380733001,67.23464568247519,22601.458211987316
qaoa_channel,0,sequential,-0.021988401380677397,4.756402478830722,inf
qaoa_channel,1,sequential,6.692842026475501,0.0,0.0
qaoa_channel,2,sequential,18.920231519552196,0.0,0.0
qaoa_channel,3,sequential,0.015463006467158102,346.06921579825195,22380.461169260245
qaoa_channel,4,sequential,-2.0088414619699388e-05,52.02525640061148,inf
qaoa_channel,5,sequential,0.0091981754943295,0.0,0.0
qaoa_channel,6,sequential,-3.93438457586999e-05,63.692623020010814,inf
