workload,seed,winsor_floor,search_cost_units,utility,utility_p10,service_violation,quality_loss,delay_s
qaoa,210,-2,33.0,-0.14946747587750656,-0.14163733524465563,0.05,0.02384995406724831,0.24660800000000002
qaoa,210,-4,33.0,-0.14946747587750656,-0.14163733524465563,0.05,0.02384995406724831,0.24660800000000002
qaoa,210,-6,33.0,-0.14946747587750656,-0.14163733524465563,0.05,0.02384995406724831,0.24660800000000002
qaoa,210,-10,33.0,-0.14946747587750656,-0.14163733524465563,0.05,0.02384995406724831,0.24660800000000002
qaoa,210,none,33.0,-0.14946747587750656,-0.14163733524465563,0.05,0.02384995406724831,0.24660800000000002
qaoa,211,-2,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa,211,-4,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa,211,-6,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa,211,-10,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa,211,none,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa,212,-2,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa,212,-4,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa,212,-6,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa,212,-10,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa,212,none,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa,213,-2,33.0,-0.010185726730546775,-0.011593201658426816,0.0,0.0,0.03992485937828886
qaoa,213,-4,33.0,-0.010185726730546775,-0.011593201658426816,0.0,0.0,0.03992485937828886
qaoa,213,-6,33.0,-0.010185726730546775,-0.011593201658426816,0.0,0.0,0.03992485937828886
qaoa,213,-10,33.0,-0.010185726730546775,-0.011593201658426816,0.0,0.0,0.03992485937828886
qaoa,213,none,33.0,-0.010185726730546775,-0.011593201658426816,0.0,0.0,0.03992485937828886
qaoa,214,-2,33.0,-0.012236421261280106,-0.016477085140856954,0.0,0.0,0.06353786954669406
qaoa,214,-4,33.0,-0.012236421261280106,-0.016477085140856954,0.0,0.0,0.06353786954669406
qaoa,214,-6,33.0,-0.012236421261280106,-0.016477085140856954,0.0,0.0,0.06353786954669406
qaoa,214,-10,33.0,-0.012236421261280106,-0.016477085140856954,0.0,0.0,0.06353786954669406
qaoa,214,none,33.0,-0.012236421261280106,-0.016477085140856954,0.0,0.0,0.06353786954669406
qaoa,215,-2,33.0,-0.018561662688566648,-0.017682260241359535,0.05,0.0,0.14020502731483037
qaoa,215,-4,33.0,-0.0185610706927771,-0.017682260241359535,0.05,0.0,0.1401996525940446
qaoa,215,-6,33.0,-0.018561094786262666,-0.017682260241359535,0.05,0.0,0.1401998713384343
qaoa,215,-10,33.0,-0.018562192761277335,-0.017682260241359535,0.05,0.0,0.1402098398369232
qaoa,215,none,33.0,-0.018561347181231584,-0.017682260241359535,0.05,0.0,0.14020216282852532
qaoa_channel,210,-2,33.0,-0.008933754844150413,-0.002624170818640464,0.0,0.008384568426458423,0.005304416234139353
qaoa_channel,210,-4,33.0,-0.008942033040530253,-0.0026394521869475647,0.0,0.008384568426458423,0.005370645958464593
qaoa_channel,210,-6,33.0,-0.008945739984876078,-0.002654817530045015,0.0,0.008384568426458423,0.005384802469052374
qaoa_channel,210,-10,33.0,-0.008944858694073427,-0.0026453764851450934,0.0,0.008384568426458423,0.005390114558394998
