regime,policy,action_loss,violation,regret,qpu_rate,certificate_rate,fallback_rate
qpu_opportunity,balanced_scheduler,0.1418998667724214,0.04083333333333333,0.001888386230857079,0.7083333333333334,0.0,0.2916666666666667
qpu_opportunity,capo_cert,0.18719702303523988,0.007916666666666667,0.04718554249367555,0.4166666666666667,0.4166666666666667,0.5833333333333334
qpu_opportunity,classical_only,0.3,0.0,0.15998851945843562,0.0,0.0,1.0
qpu_opportunity,deadline_threshold,0.1407124938187546,0.03958333333333334,0.0007010132771903041,0.7083333333333334,0.0,0.2916666666666667
qpu_opportunity,empirical_chance,0.14985281084993912,0.01625,0.009841330308374804,0.5833333333333334,0.0,0.4166666666666667
qpu_opportunity,expected_loss,0.1407124938187546,0.03958333333333334,0.0007010132771903041,0.7083333333333334,0.0,0.2916666666666667
qpu_opportunity,resource_plan,0.1565287719538223,0.04125,0.016517291412257988,0.6666666666666666,0.0,0.3333333333333333
queue_stress,balanced_scheduler,0.28050371159195164,0.11208333333333333,0.005796601308527366,0.4583333333333333,0.0,0.5416666666666666
queue_stress,capo_cert,0.3,0.0,0.025292889716575683,0.0,0.0,1.0
queue_stress,classical_only,0.3,0.0,0.025292889716575683,0.0,0.0,1.0
queue_stress,deadline_threshold,0.3,0.0,0.025292889716575683,0.0,0.0,1.0
queue_stress,empirical_chance,0.3,0.0,0.025292889716575683,0.0,0.0,1.0
queue_stress,expected_loss,0.2831097684462354,0.10958333333333332,0.00840265816281112,0.4166666666666667,0.0,0.5416666666666666
queue_stress,resource_plan,0.2991990306502424,0.03125,0.024491920366818132,0.08333333333333333,0.0,0.875
